,Start,End,Type
0,1581713359.67318,1581713360.869194,ransac
1,1581713360.87567,1581713361.401861,ransac
2,1581713361.408572,1581713361.693678,ransac
3,1581713361.699564,1581713361.928241,ransac
4,1581713363.938798,1581713364.204965,ransac
5,1581713367.2170188,1581713367.5454788,ransac
6,1581713367.551091,1581713367.843893,ransac
7,1581713368.85218,1581713369.1912632,ransac
8,1581713369.197173,1581713369.535452,ransac
9,1581713374.550975,1581713375.03375,ransac
10,1581713375.0399802,1581713375.556668,ransac
11,1581713379.570536,1581713380.083657,ransac
12,1581713383.095163,1581713383.628162,ransac
13,1581713386.639937,1581713387.156116,ransac
14,1581713392.1710038,1581713392.6892948,ransac
15,1581713392.694887,1581713393.282419,ransac
16,1581713397.294847,1581713397.822415,ransac
17,1581713397.828496,1581713398.364886,ransac
18,1581713400.375094,1581713400.672926,ransac
19,1581713401.681055,1581713402.1121302,ransac
20,1581713403.120671,1581713403.425097,ransac
21,1581713405.435821,1581713405.7635891,ransac
22,1581713406.7718391,1581713407.107337,ransac
23,1581713410.1196039,1581713410.459805,ransac
24,1581713410.466135,1581713410.808009,ransac
25,1581713412.8186939,1581713413.12852,ransac
26,1581713414.1362288,1581713414.493796,ransac
27,1581713416.504678,1581713416.923918,ransac
28,1581713418.934251,1581713419.2149081,ransac
29,1581713419.2206051,1581713419.712856,ransac
30,1581713424.728262,1581713425.369297,ransac
31,1581713425.375488,1581713425.980275,ransac
32,1581713434.002165,1581713434.768917,ransac
33,1581713434.775133,1581713435.72527,ransac
34,1581713436.7336268,1581713437.0951529,ransac
35,1581713439.105459,1581713439.49435,ransac
36,1581713441.504441,1581713441.9500132,ransac
37,1581713442.958431,1581713443.367128,ransac
38,1581713445.37724,1581713445.774455,ransac
39,1581713446.78265,1581713447.155962,ransac
40,1581713449.16672,1581713449.6043608,ransac
41,1581713451.6149151,1581713452.040574,ransac
42,1581713453.0488188,1581713453.421855,ransac
43,1581713455.4313269,1581713455.894475,ransac
44,1581713456.9037108,1581713457.316001,ransac
45,1581713462.3324962,1581713462.773228,ransac
46,1581713462.779341,1581713463.2093132,ransac
47,1581713466.22054,1581713466.548841,ransac
48,1581713467.557415,1581713468.087876,ransac
49,1581713473.104039,1581713473.424602,ransac
50,1581713473.430705,1581713473.769477,ransac
51,1581713475.779206,1581713476.046453,ransac
52,1581713476.05235,1581713476.361093,ransac
53,1581713478.371424,1581713478.695471,ransac
54,1581713478.701589,1581713478.967244,ransac
55,1581713480.977207,1581713481.251361,ransac
56,1581713481.257235,1581713481.5266619,ransac
57,1581713485.540625,1581713485.844631,ransac
58,1581713487.8554661,1581713488.485214,ransac
59,1581713493.500562,1581713494.092912,ransac
60,1581713494.0986211,1581713494.670388,ransac
61,1581713495.677898,1581713495.947717,ransac
62,1581713498.960579,1581713499.258352,ransac
63,1581713502.2703,1581713502.6238232,ransac
64,1581713502.630072,1581713502.9201,ransac
65,1581713504.93079,1581713505.17796,ransac
66,1581713507.188308,1581713507.429734,ransac
67,1581713509.440253,1581713509.7572038,ransac
68,1581713509.763533,1581713510.010334,ransac
69,1581713516.028206,1581713516.804065,ransac
70,1581713516.810386,1581713517.503378,ransac
71,1581713523.5216,1581713523.993609,ransac
72,1581713525.001615,1581713525.471923,ransac
73,1581713529.486819,1581713530.058458,ransac
74,1581713530.064395,1581713530.634168,ransac
75,1581713538.654548,1581713539.5050972,ransac
76,1581713542.519927,1581713543.391327,ransac
77,1581713545.401657,1581713546.100666,ransac
78,1581713548.1117241,1581713548.469732,ransac
79,1581713550.480699,1581713551.282164,ransac
