,Start,End,Type
0,1581713351.60952,1581713357.787971,geo
1,1581713357.79506,1581713361.6520948,geo
2,1581713361.658542,1581713366.49565,geo
3,1581713366.501997,1581713368.36875,geo
4,1581713368.37484,1581713373.8153448,geo
5,1581713373.821334,1581713382.290357,geo
6,1581713382.296452,1581713391.223552,geo
7,1581713391.22986,1581713396.375107,geo
8,1581713396.381651,1581713399.542878,geo
9,1581713399.5489368,1581713402.4730859,geo
10,1581713402.479554,1581713406.186021,geo
11,1581713406.192143,1581713410.271749,geo
12,1581713410.278465,1581713413.914057,geo
13,1581713413.920445,1581713419.147794,geo
14,1581713419.154181,1581713424.686761,geo
15,1581713424.693116,1581713433.920592,geo
16,1581713433.926814,1581713438.1363552,geo
17,1581713438.143148,1581713442.0977259,geo
18,1581713442.103689,1581713445.839418,geo
19,1581713445.845096,1581713450.7026901,geo
20,1581713450.70861,1581713455.174934,geo
21,1581713455.180614,1581713462.232187,geo
22,1581713462.239166,1581713465.643822,geo
23,1581713465.650029,1581713472.6335618,geo
24,1581713472.639959,1581713475.859828,geo
25,1581713475.866131,1581713478.293477,geo
26,1581713478.3002589,1581713480.904641,geo
27,1581713480.910533,1581713487.0758839,geo
28,1581713487.082352,1581713492.8243132,geo
29,1581713492.830497,1581713502.1530788,geo
30,1581713502.159274,1581713504.571376,geo
31,1581713504.57739,1581713509.1004539,geo
32,1581713509.107348,1581713515.9020169,geo
33,1581713515.908311,1581713522.753398,geo
34,1581713522.759699,1581713528.672783,geo
35,1581713528.6787071,1581713542.28735,geo
36,1581713542.2933269,1581713550.145813,geo
37,1581713550.1517859,1581713556.428023,geo
38,1581713556.4341788,1581713564.199496,geo
39,1581713564.205644,1581713572.005811,geo
40,1581713572.011923,1581713580.312818,geo
41,1581713580.318789,1581713586.119065,geo
42,1581713586.125209,1581713588.7465038,geo
43,1581713588.752542,1581713594.253062,geo
44,1581713594.259663,1581713596.0298529,geo
45,1581713596.0360038,1581713601.365323,geo
46,1581713601.372216,1581713604.358887,geo
47,1581713604.3648179,1581713606.042353,geo
48,1581713606.048467,1581713609.343808,geo
49,1581713609.349819,1581713611.624361,geo
50,1581713611.630107,1581713616.357158,geo
51,1581713616.363637,1581713618.820068,geo
52,1581713618.826206,1581713621.297204,geo
53,1581713621.3035688,1581713623.7108731,geo
54,1581713623.717199,1581713626.21821,geo
55,1581713626.224225,1581713628.564565,geo
56,1581713628.5710108,1581713631.15394,geo
57,1581713631.159956,1581713640.434914,geo
58,1581713640.4410331,1581713646.95112,geo
59,1581713646.957489,1581713650.730308,geo
60,1581713650.738749,1581713654.776425,geo
61,1581713654.782614,1581713658.49997,geo
62,1581713658.5059679,1581713662.399055,geo
63,1581713662.405376,1581713667.760622,geo
64,1581713667.7671552,1581713671.201926,geo
65,1581713671.20808,1581713673.799919,geo
66,1581713673.806753,1581713676.901037,geo
67,1581713676.907251,1581713684.130259,geo
68,1581713684.136521,1581713692.746144,geo
69,1581713692.7521641,1581713700.536955,geo
70,1581713700.542929,1581713707.932317,geo
71,1581713707.9385788,1581713716.514124,geo
72,1581713716.520375,1581713725.627001,geo
73,1581713725.633008,1581713732.970447,geo
74,1581713732.977027,1581713736.496312,geo
75,1581713736.502831,1581713739.69831,geo
76,1581713739.704371,1581713742.87799,geo
77,1581713742.884274,1581713745.557154,geo
78,1581713745.563255,1581713748.733933,geo
79,1581713748.7403529,1581713751.85138,geo
80,1581713751.8576028,1581713754.7517939,geo
81,1581713754.7577882,1581713759.6581721,geo
82,1581713759.6641018,1581713766.494074,geo
83,1581713766.500047,1581713769.550672,geo
84,1581713769.5571551,1581713773.68569,geo
85,1581713773.691976,1581713777.653787,geo
86,1581713777.659945,1581713781.21764,geo
87,1581713781.2238529,1581713784.10024,geo
88,1581713784.106466,1581713786.191635,geo
89,1581713786.1981971,1581713789.158541,geo
90,1581713789.165005,1581713791.313477,geo
91,1581713791.319415,1581713793.4488401,geo
92,1581713793.455353,1581713796.239532,geo
93,1581713796.245208,1581713799.2976289,geo
94,1581713799.3035321,1581713802.336735,geo
