,Start,End,Type
0,1582140952.3169029,1582140962.66049,geo
1,1582140962.667067,1582140964.9055789,geo
2,1582140964.911863,1582140967.117817,geo
3,1582140967.1241212,1582140969.446573,geo
4,1582140969.4526901,1582140970.957942,geo
5,1582140970.963904,1582140972.698744,geo
6,1582140972.70494,1582140976.081802,geo
7,1582140976.088537,1582140978.5272632,geo
8,1582140978.533618,1582140981.3135052,geo
9,1582140981.319412,1582140986.212986,geo
10,1582140986.218876,1582140991.460294,geo
11,1582140991.466597,1582140996.851266,geo
12,1582140996.8577151,1582141001.848725,geo
13,1582141001.855244,1582141007.2360132,geo
14,1582141007.242308,1582141016.088162,geo
15,1582141016.094382,1582141020.982874,geo
16,1582141020.989234,1582141024.8327448,geo
17,1582141024.839241,1582141034.530042,geo
18,1582141034.536463,1582141052.339518,geo
19,1582141052.3459651,1582141068.10643,geo
20,1582141068.112712,1582141071.010571,geo
21,1582141071.017301,1582141074.024409,geo
22,1582141074.030892,1582141077.476875,geo
23,1582141077.483275,1582141080.2833118,geo
24,1582141080.289613,1582141086.777193,geo
25,1582141086.784493,1582141092.815533,geo
26,1582141092.822055,1582141100.485446,geo
27,1582141100.491413,1582141106.588286,geo
28,1582141106.594808,1582141117.13026,geo
29,1582141117.136559,1582141127.486645,geo
30,1582141127.492696,1582141129.6470802,geo
31,1582141129.653197,1582141132.178884,geo
32,1582141132.185182,1582141136.467125,geo
33,1582141136.473071,1582141139.040577,geo
34,1582141139.046512,1582141145.5321019,geo
35,1582141145.538002,1582141148.245675,geo
36,1582141148.251725,1582141150.833551,geo
37,1582141150.839746,1582141155.850474,geo
38,1582141155.856808,1582141158.189983,geo
39,1582141158.196321,1582141161.702657,geo
40,1582141161.70901,1582141166.420265,geo
41,1582141166.4265802,1582141173.62605,geo
42,1582141173.632258,1582141179.941586,geo
43,1582141179.947975,1582141186.008843,geo
44,1582141186.015418,1582141193.196049,geo
45,1582141193.202416,1582141199.574806,geo
46,1582141199.581249,1582141206.340063,geo
47,1582141206.346375,1582141209.227307,geo
48,1582141209.233253,1582141212.652951,geo
49,1582141212.6589382,1582141215.728435,geo
50,1582141215.7343302,1582141218.753123,geo
51,1582141218.759046,1582141222.959126,geo
52,1582141222.965077,1582141226.063384,geo
53,1582141226.07005,1582141236.009217,geo
54,1582141236.015125,1582141239.875039,geo
55,1582141239.8816051,1582141244.681164,geo
56,1582141244.687215,1582141249.6231759,geo
57,1582141249.6293972,1582141254.2081392,geo
58,1582141254.2147882,1582141260.180485,geo
59,1582141260.186686,1582141264.999223,geo
60,1582141265.005451,1582141269.351376,geo
61,1582141269.3574288,1582141273.5911279,geo
62,1582141273.600089,1582141278.560237,geo
63,1582141278.566764,1582141288.65485,geo
64,1582141288.661267,1582141293.4076,geo
65,1582141293.413832,1582141297.6510632,geo
66,1582141297.657118,1582141298.377752,geo
67,1582141298.384308,1582141318.435692,geo
68,1582141318.441525,1582141331.370213,geo
69,1582141331.376264,1582141342.417473,geo
70,1582141342.4237099,1582141353.667053,geo
71,1582141353.673519,1582141360.660368,geo
72,1582141360.666569,1582141365.154006,geo
73,1582141365.160158,1582141368.573832,geo
74,1582141368.580184,1582141371.8217769,geo
75,1582141371.828153,1582141376.150983,geo
76,1582141376.157221,1582141379.387858,geo
77,1582141379.3939161,1582141382.670958,geo
78,1582141382.678148,1582141388.00087,geo
79,1582141388.007355,1582141391.3636081,geo
80,1582141391.369935,1582141394.082467,geo
81,1582141394.0884311,1582141396.643241,geo
82,1582141396.649421,1582141398.9717221,geo
83,1582141398.977778,1582141402.4378538,geo
84,1582141402.443958,1582141406.75906,geo
85,1582141406.765434,1582141409.021087,geo
86,1582141409.027473,1582141411.054893,geo
87,1582141411.06118,1582141413.164226,geo
88,1582141413.1704779,1582141416.9931,geo
89,1582141416.999402,1582141419.063042,geo
90,1582141419.0694962,1582141421.045725,geo
91,1582141421.0519462,1582141423.601125,geo
92,1582141423.6072302,1582141425.5837119,geo
93,1582141425.589988,1582141428.630559,geo
94,1582141428.6369278,1582141439.595215,geo
95,1582141439.601442,1582141442.5605369,geo
96,1582141442.5666869,1582141447.140124,geo
97,1582141447.1465302,1582141459.105486,geo
98,1582141459.111618,1582141464.098918,geo
99,1582141464.1051779,1582141469.7536778,geo
100,1582141469.760133,1582141471.838033,geo
101,1582141471.844704,1582141473.5033278,geo
102,1582141473.509813,1582141475.31701,geo
103,1582141475.3230882,1582141481.620842,geo
104,1582141481.627557,1582141487.5004652,geo
105,1582141487.506648,1582141493.630976,geo
106,1582141493.637938,1582141503.825542,geo
107,1582141503.831981,1582141506.414578,geo
108,1582141506.420921,1582141510.8606858,geo
109,1582141510.867059,1582141515.548009,geo
110,1582141515.5540721,1582141520.699317,geo
111,1582141520.705675,1582141528.189436,geo
112,1582141528.195677,1582141533.62185,geo
113,1582141533.628032,1582141535.95009,geo
114,1582141535.9563868,1582141538.842917,geo
115,1582141538.849117,1582141543.544747,geo
116,1582141543.551157,1582141554.134868,geo
117,1582141554.141707,1582141569.61551,geo
118,1582141569.622017,1582141579.032897,geo
119,1582141579.0392392,1582141583.8272312,geo
120,1582141583.833544,1582141599.149316,geo
121,1582141599.155905,1582141606.2770221,geo
122,1582141606.2836869,1582141611.829551,geo
123,1582141611.836033,1582141616.474071,geo
124,1582141616.480366,1582141622.581834,geo
125,1582141622.588141,1582141628.4419491,geo
126,1582141628.448217,1582141632.248777,geo
127,1582141632.2558699,1582141636.221532,geo
128,1582141636.228128,1582141640.081176,geo
129,1582141640.087411,1582141643.204717,geo
130,1582141643.210903,1582141649.5432231,geo
131,1582141649.5500321,1582141652.128818,geo
132,1582141652.135158,1582141653.768089,geo
133,1582141653.774146,1582141656.188575,geo
134,1582141656.1947231,1582141660.740129,geo
135,1582141660.746243,1582141667.621288,geo
136,1582141667.627496,1582141673.348457,geo
137,1582141673.354881,1582141679.304471,geo
138,1582141679.310893,1582141684.980516,geo
139,1582141684.9869869,1582141691.739442,geo
140,1582141691.745601,1582141694.443509,geo
141,1582141694.4496179,1582141696.697217,geo
142,1582141696.703894,1582141703.443155,geo
143,1582141703.44933,1582141710.041719,geo
144,1582141710.047852,1582141716.624506,geo
145,1582141716.630634,1582141721.911454,geo
146,1582141721.917864,1582141728.495293,geo
147,1582141728.5016642,1582141734.393055,geo
148,1582141734.399488,1582141737.234283,geo
149,1582141737.240437,1582141739.6860929,geo
150,1582141739.6921859,1582141742.008656,geo
151,1582141742.015527,1582141748.453651,geo
152,1582141748.459851,1582141750.843173,geo
153,1582141750.849674,1582141754.251442,geo
154,1582141754.257643,1582141759.01291,geo
155,1582141759.01941,1582141762.534241,geo
156,1582141762.540802,1582141765.16172,geo
157,1582141765.167969,1582141767.662278,geo
158,1582141767.6685429,1582141770.000334,geo
159,1582141770.0066311,1582141771.86377,geo
160,1582141771.870159,1582141773.671726,geo
161,1582141773.678023,1582141775.6811051,geo
162,1582141775.687445,1582141778.75437,geo
163,1582141778.760958,1582141780.763688,geo
164,1582141780.7698538,1582141782.5330482,geo
165,1582141782.539229,1582141786.256337,geo
166,1582141786.2631721,1582141788.766313,geo
167,1582141788.772703,1582141791.648884,geo
168,1582141791.655221,1582141795.854404,geo
169,1582141795.860516,1582141799.302603,geo
170,1582141799.308882,1582141806.10244,geo
171,1582141806.108508,1582141812.4564831,geo
172,1582141812.462567,1582141821.361223,geo
173,1582141821.367533,1582141828.914489,geo
174,1582141828.92089,1582141839.4073222,geo
175,1582141839.413723,1582141853.764455,geo
176,1582141853.770672,1582141864.6521509,geo
177,1582141864.658154,1582141868.0093038,geo
178,1582141868.015381,1582141870.57431,geo
179,1582141870.580338,1582141873.048942,geo
180,1582141873.055015,1582141876.340245,geo
181,1582141876.3464859,1582141878.4877892,geo
182,1582141878.4949071,1582141883.321112,geo
183,1582141883.327699,1582141886.83908,geo
184,1582141886.8454618,1582141889.038593,geo
185,1582141889.044743,1582141902.436891,geo
186,1582141902.443052,1582141904.738353,geo
187,1582141904.7444391,1582141909.569651,geo
188,1582141909.575758,1582141914.062413,geo
189,1582141914.068664,1582141916.557997,geo
190,1582141916.564185,1582141919.0733821,geo
