,Start,End,Type
0,1582140960.329142,1582140963.368735,ransac
1,1582140963.374939,1582140964.044117,ransac
2,1582140965.052964,1582140965.355176,ransac
3,1582140966.364135,1582140966.800252,ransac
4,1582140967.808407,1582140968.118056,ransac
5,1582140968.124222,1582140968.388035,ransac
6,1582140970.3986,1582140970.682219,ransac
7,1582140970.6884449,1582140970.938843,ransac
8,1582140971.947237,1582140972.227996,ransac
9,1582140972.234363,1582140972.4719849,ransac
10,1582140973.48005,1582140973.746554,ransac
11,1582140975.756376,1582140976.080302,ransac
12,1582140977.088414,1582140977.401136,ransac
13,1582140979.411757,1582140979.7102392,ransac
14,1582140979.716199,1582140979.983718,ransac
15,1582140981.994112,1582140982.265173,ransac
16,1582140982.271519,1582140982.511801,ransac
17,1582140986.525481,1582140986.869592,ransac
18,1582140986.8765109,1582140987.286843,ransac
19,1582140992.30183,1582140992.94715,ransac
20,1582140996.9592571,1582140997.766535,ransac
21,1582140997.772897,1582140998.485805,ransac
22,1582141002.498965,1582141003.334424,ransac
23,1582141004.343424,1582141005.063567,ransac
24,1582141008.075494,1582141008.809828,ransac
25,1582141010.820275,1582141011.524083,ransac
26,1582141016.540078,1582141017.351589,ransac
27,1582141019.362731,1582141020.101872,ransac
28,1582141021.109627,1582141021.673023,ransac
29,1582141023.683922,1582141024.133218,ransac
30,1582141025.141316,1582141025.581399,ransac
31,1582141032.601307,1582141033.480185,ransac
32,1582141035.491179,1582141036.43499,ransac
33,1582141036.440826,1582141036.809351,ransac
34,1582141050.846791,1582141052.484218,ransac
35,1582141052.490318,1582141054.346972,ransac
36,1582141063.370168,1582141065.348717,ransac
37,1582141068.361658,1582141070.287101,ransac
38,1582141071.295291,1582141071.650449,ransac
39,1582141074.662971,1582141074.986626,ransac
40,1582141077.998223,1582141078.3361518,ransac
41,1582141080.3467019,1582141080.599198,ransac
42,1582141086.617374,1582141088.423528,ransac
43,1582141088.4296288,1582141089.197843,ransac
44,1582141093.21171,1582141094.004838,ransac
45,1582141097.018048,1582141097.863359,ransac
46,1582141100.875712,1582141101.600076,ransac
47,1582141103.610732,1582141104.307863,ransac
48,1582141107.319672,1582141108.070099,ransac
49,1582141111.081994,1582141111.8592029,ransac
50,1582141117.877674,1582141118.698317,ransac
51,1582141120.708482,1582141121.5590599,ransac
52,1582141127.5758288,1582141128.441159,ransac
53,1582141128.4474711,1582141129.340863,ransac
54,1582141129.346997,1582141129.6182609,ransac
55,1582141130.626736,1582141130.893058,ransac
56,1582141132.903614,1582141133.155391,ransac
57,1582141135.165708,1582141135.4320269,ransac
58,1582141137.442442,1582141137.678734,ransac
59,1582141137.684561,1582141137.9706779,ransac
60,1582141139.981123,1582141140.235951,ransac
61,1582141140.2418551,1582141140.488898,ransac
62,1582141144.502742,1582141144.7478108,ransac
63,1582141145.755944,1582141146.01613,ransac
64,1582141147.0242288,1582141147.2849882,ransac
65,1582141148.294993,1582141148.615633,ransac
66,1582141149.62624,1582141149.8825538,ransac
67,1582141150.8906882,1582141151.142785,ransac
68,1582141156.158143,1582141156.705654,ransac
69,1582141158.7157972,1582141158.966827,ransac
70,1582141159.9749439,1582141160.6190789,ransac
71,1582141162.628352,1582141162.873684,ransac
72,1582141162.8801131,1582141163.114184,ransac
73,1582141167.127358,1582141167.586463,ransac
74,1582141167.592363,1582141168.042932,ransac
75,1582141174.059405,1582141174.875658,ransac
76,1582141174.881784,1582141175.619201,ransac
77,1582141180.634208,1582141181.3672,ransac
78,1582141181.373292,1582141182.096389,ransac
79,1582141186.109341,1582141186.87208,ransac
80,1582141187.88097,1582141188.655388,ransac
81,1582141193.6701279,1582141194.450524,ransac
82,1582141195.458651,1582141196.2253802,ransac
83,1582141200.2386289,1582141200.962744,ransac
84,1582141201.970412,1582141202.719302,ransac
85,1582141202.725224,1582141202.977686,ransac
86,1582141206.993591,1582141207.714523,ransac
87,1582141209.725025,1582141210.003464,ransac
88,1582141210.009502,1582141210.3361099,ransac
89,1582141213.347504,1582141213.700588,ransac
90,1582141213.7068698,1582141214.104966,ransac
91,1582141216.115054,1582141216.421749,ransac
92,1582141217.429476,1582141217.78945,ransac
93,1582141218.798049,1582141219.1062698,ransac
94,1582141221.116143,1582141221.49951,ransac
95,1582141223.510315,1582141223.8336039,ransac
96,1582141226.845985,1582141227.1549,ransac
97,1582141227.161066,1582141227.500623,ransac
98,1582141229.510713,1582141229.766772,ransac
99,1582141231.775954,1582141232.037318,ransac
100,1582141236.050834,1582141236.408304,ransac
101,1582141239.4199631,1582141239.949264,ransac
102,1582141239.955616,1582141240.373632,ransac
103,1582141243.38492,1582141243.896958,ransac
104,1582141244.904976,1582141245.426274,ransac
105,1582141248.438009,1582141248.96941,ransac
106,1582141249.977626,1582141250.511574,ransac
107,1582141252.521884,1582141253.001709,ransac
108,1582141255.0117462,1582141255.544374,ransac
109,1582141257.55414,1582141258.066693,ransac
110,1582141261.078104,1582141261.5996962,ransac
111,1582141261.6060722,1582141262.062876,ransac
112,1582141265.074094,1582141265.5498118,ransac
113,1582141266.558615,1582141266.989998,ransac
114,1582141270.0014381,1582141270.449035,ransac
115,1582141270.455083,1582141270.913259,ransac
116,1582141273.9245028,1582141274.4074938,ransac
117,1582141275.41572,1582141275.878014,ransac
118,1582141278.8896,1582141279.3898098,ransac
119,1582141280.398651,1582141280.860959,ransac
120,1582141285.876123,1582141286.335979,ransac
121,1582141289.3469849,1582141289.845349,ransac
122,1582141291.85519,1582141292.353637,ransac
123,1582141294.364048,1582141294.790928,ransac
124,1582141295.799098,1582141296.261711,ransac
125,1582141298.271924,1582141298.7860231,ransac
126,1582141298.7921169,1582141299.140801,ransac
127,1582141299.1469882,1582141299.382469,ransac
128,1582141309.405453,1582141310.4078789,ransac
129,1582141319.429491,1582141321.0506349,ransac
130,1582141324.062275,1582141325.52284,ransac
131,1582141331.5393472,1582141332.892589,ransac
132,1582141334.9025052,1582141336.413045,ransac
133,1582141339.4243991,1582141339.743975,ransac
134,1582141342.755717,1582141344.076508,ransac
135,1582141348.0899699,1582141348.8526618,ransac
136,1582141353.867802,1582141354.835722,ransac
137,1582141355.844344,1582141356.6440039,ransac
138,1582141361.658268,1582141362.4260411,ransac
139,1582141365.438355,1582141366.28627,ransac
140,1582141366.292298,1582141366.7318199,ransac
141,1582141368.741253,1582141369.135376,ransac
142,1582141371.146344,1582141371.6410391,ransac
143,1582141372.6492279,1582141373.051111,ransac
144,1582141375.061276,1582141375.431592,ransac
145,1582141376.439694,1582141376.8595052,ransac
146,1582141378.869106,1582141379.289741,ransac
147,1582141380.298213,1582141380.642444,ransac
148,1582141382.6515439,1582141383.034944,ransac
149,1582141383.04127,1582141383.3790882,ransac
150,1582141388.39399,1582141388.8205311,ransac
151,1582141388.82625,1582141389.243728,ransac
152,1582141391.253234,1582141391.644921,ransac
153,1582141391.651461,1582141391.9994462,ransac
154,1582141395.010916,1582141395.348124,ransac
155,1582141395.3541741,1582141395.8035688,ransac
156,1582141396.812193,1582141397.140043,ransac
157,1582141398.14835,1582141398.445279,ransac
158,1582141399.453634,1582141399.7707891,ransac
159,1582141399.776865,1582141400.026743,ransac
160,1582141402.037168,1582141402.29487,ransac
161,1582141403.303434,1582141403.596348,ransac
