Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20171111211404_104001003542ED00_17NOV11211404-P1BS-501922413050_01_P005_u08rf3031.tif,1555783043.666976,1555783102.3120282,17410
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016223247_1040010033A15500_17OCT16223247-P1BS-501862031090_01_P004_u08rf3031.tif,1555783102.3940277,1555783184.8103275,23864
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930035008_1040010032459400_17SEP30035008-P1BS-501946234070_01_P009_u08rf3031.tif,1555783184.872501,1555783256.7862048,19247
/pylon5/mc3bggp/bspitz/Seals/WV03_20171105064143_10400100345D8400_17NOV05064143-P1BS-501917433080_01_P002_u08rf3031.tif,1555783256.8794608,1555783345.2597191,20891
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214151805_10400100361B2100_17DEC14151805-P1BS-501934417040_01_P003_u08rf3031.tif,1555783345.460378,1555783410.9644718,19996
/pylon5/mc3bggp/bspitz/Seals/WV03_20171101103518_1040010033289100_17NOV01103518-P1BS-501896681080_01_P007_u08rf3031.tif,1555783411.1263373,1555783498.0940163,21339
/pylon5/mc3bggp/bspitz/Seals/WV03_20171014220456_10400100351CCA00_17OCT14220456-P1BS-501862244100_01_P010_u08rf3031.tif,1555783498.3088505,1555783547.5074224,11516
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218125802_1040010036C96D00_17DEC18125802-P1BS-501968318060_01_P002_u08rf3031.tif,1555783547.572573,1555783619.4768865,20568
/pylon5/mc3bggp/bspitz/Seals/WV03_20170919090426_10400100343CE400_17SEP19090426-P1BS-501946350080_01_P002_u08rf3031.tif,1555783619.6176736,1555783687.189336,24473
/pylon5/mc3bggp/bspitz/Seals/WV03_20180110221001_10400100371B6700_18JAN10221001-P1BS-501968375020_01_P005_u08rf3031.tif,1555783687.3032117,1555783757.4993737,22611
/pylon5/mc3bggp/bspitz/Seals/WV03_20171205125344_1040010035018500_17DEC05125344-P1BS-501920242010_01_P002_u08rf3031.tif,1555783757.6200047,1555783834.8609343,24290
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219015311_1040010035972300_17DEC19015311-P1BS-501932186010_01_P008_u08rf3031.tif,1555783834.9570336,1555783909.325182,18141
/pylon5/mc3bggp/bspitz/Seals/WV03_20180105124652_1040010037C32200_18JAN05124652-P1BS-501954114090_01_P003_u08rf3031.tif,1555783909.5148754,1555783993.2542195,21228
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219065329_1040010036610200_17DEC19065329-P1BS-501956496010_01_P005_u08rf3031.tif,1555783993.4590402,1555784081.018961,22414
/pylon5/mc3bggp/bspitz/Seals/WV03_20170915093905_1040010033BD6500_17SEP15093905-P1BS-501946345070_01_P001_u08rf3031.tif,1555784081.1384554,1555784135.5023055,22416
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907104950_10400100333A4E00_17SEP07104950-P1BS-501603159020_01_P004_u08rf3031.tif,1555784135.5508585,1555784212.7868168,21395
/pylon5/mc3bggp/bspitz/Seals/WV03_20171010044908_10400100341B7400_17OCT10044908-P1BS-501862143050_01_P009_u08rf3031.tif,1555784212.979443,1555784290.2228835,20133
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229235450_1040010037181A00_17DEC29235450-P1BS-501968374060_01_P005_u08rf3031.tif,1555784290.3972971,1555784369.9130714,19243
/pylon5/mc3bggp/bspitz/Seals/WV03_20171007134420_1040010032571A00_17OCT07134420-P1BS-501861932080_01_P002_u08rf3031.tif,1555784370.1501791,1555784450.4425576,19401
/pylon5/mc3bggp/bspitz/Seals/WV03_20171118180921_104001003538B500_17NOV18180921-P1BS-501922406060_01_P002_u08rf3031.tif,1555784450.6218696,1555784472.137805,4329
/pylon5/mc3bggp/bspitz/Seals/WV03_20171121123000_1040010035B22400_17NOV21123000-P1BS-501934292090_01_P004_u08rf3031.tif,1555784472.150391,1555784554.873929,22798
/pylon5/mc3bggp/bspitz/Seals/WV03_20171009141711_10400100336DFF00_17OCT09141711-P1BS-501862022060_01_P005_u08rf3031.tif,1555784555.0667105,1555784628.041021,20365
/pylon5/mc3bggp/bspitz/Seals/WV03_20171005225458_1040010033BAC300_17OCT05225458-P1BS-501862037060_01_P005_u08rf3031.tif,1555784628.320506,1555784720.599958,22979
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930034856_10400100340AED00_17SEP30034856-P1BS-501946351090_01_P006_u08rf3031.tif,1555784720.872106,1555784805.5843403,23392
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229042944_10400100368CA000_17DEC29042944-P1BS-501956588090_01_P005_u08rf3031.tif,1555784805.7549171,1555784883.221916,19203
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914011634_104001003216DC00_17SEP14011634-P1BS-501946169100_01_P001_u08rf3031.tif,1555784883.4445355,1555784967.63604,18966
/pylon5/mc3bggp/bspitz/Seals/WV03_20171103124640_1040010035127B00_17NOV03124640-P1BS-501920254040_01_P001_u08rf3031.tif,1555784967.8825672,1555785019.9890785,13424
/pylon5/mc3bggp/bspitz/Seals/WV03_20171103124507_104001003476DC00_17NOV03124507-P1BS-501917444070_01_P009_u08rf3031.tif,1555785020.149316,1555785123.246803,23671
/pylon5/mc3bggp/bspitz/Seals/WV03_20171105032726_104001003356D400_17NOV05032726-P1BS-501896770020_01_P007_u08rf3031.tif,1555785123.4933205,1555785191.8299863,19641
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218000105_1040010036480F00_17DEC18000105-P1BS-501954012090_01_P003_u08rf3031.tif,1555785192.009038,1555785294.3068364,22059
/pylon5/mc3bggp/bspitz/Seals/WV03_20171005032928_104001003225EC00_17OCT05032928-P1BS-501861930080_01_P003_u08rf3031.tif,1555785294.6214645,1555785374.2190256,21474
/pylon5/mc3bggp/bspitz/Seals/WV03_20180101145826_10400100368A4600_18JAN01145826-P1BS-501956586040_01_P002_u08rf3031.tif,1555785374.4368129,1555785397.1511393,5116
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001103624_10400100320B1100_17OCT01103624-P1BS-501946167100_01_P001_u08rf3031.tif,1555785397.2313814,1555785483.3526673,21016
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905003333_1040010032CA3E00_17SEP05003333-P1BS-501603157080_01_P002_u08rf3031.tif,1555785483.604401,1555785568.5565698,20475
/pylon5/mc3bggp/bspitz/Seals/WV03_20171111211304_104001003445DC00_17NOV11211304-P1BS-501917427080_01_P006_u08rf3031.tif,1555785568.8179243,1555785661.4037094,22615
/pylon5/mc3bggp/bspitz/Seals/WV03_20180110140324_1040010036043F00_18JAN10140324-P1BS-501934401020_01_P004_u08rf3031.tif,1555785661.6328385,1555785748.665898,23004
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610231023_104001002E331300_17JUN10231023-P1BS-501946149020_01_P010_u08rf3031.tif,1555785748.975675,1555785813.9162035,20106
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109235229_1040010035198000_17NOV09235229-P1BS-501920259100_01_P002_u08rf3031.tif,1555785814.0927672,1555785839.8882422,5173
/pylon5/mc3bggp/bspitz/Seals/WV03_20180104141102_1040010036490C00_18JAN04141102-P1BS-501954013010_01_P004_u08rf3031.tif,1555785839.987951,1555785909.9350572,20199
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217061443_1040010035003800_17DEC17061443-P1BS-501920241020_01_P002_u08rf3031.tif,1555785910.0894222,1555785994.0093691,19507
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216172109_104001003772C400_17DEC16172109-P1BS-501968395040_01_P005_u08rf3031.tif,1555785994.2712057,1555786076.837058,18800
/pylon5/mc3bggp/bspitz/Seals/WV03_20171011211655_1040010033156200_17OCT11211655-P1BS-501861946030_01_P002_u08rf3031.tif,1555786077.1541533,1555786168.0726318,22646
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925170630_10400100334EDE00_17SEP25170630-P1BS-501946292020_01_P002_u08rf3031.tif,1555786168.4192302,1555786273.4384336,23040
/pylon5/mc3bggp/bspitz/Seals/WV03_20171007183714_104001003373F600_17OCT07183714-P1BS-501862022080_01_P001_u08rf3031.tif,1555786273.7511132,1555786368.4215386,21123
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212161724_10400100352BCE00_17DEC12161724-P1BS-501922395080_01_P001_u08rf3031.tif,1555786368.6696076,1555786436.1875267,18026
/pylon5/mc3bggp/bspitz/Seals/WV03_20180109121856_104001003782D300_18JAN09121856-P1BS-501968402070_01_P007_u08rf3031.tif,1555786436.3567235,1555786526.2033386,23633
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907042010_1040010032A8E300_17SEP07042010-P1BS-501603153030_01_P002_u08rf3031.tif,1555786526.5060337,1555786623.8026838,24481
/pylon5/mc3bggp/bspitz/Seals/WV03_20171126053814_10400100358E6100_17NOV26053814-P1BS-501932179090_01_P005_u08rf3031.tif,1555786624.0336428,1555786659.837899,4079
/pylon5/mc3bggp/bspitz/Seals/WV03_20171023000549_10400100335C5B00_17OCT23000549-P1BS-501862017040_01_P009_u08rf3031.tif,1555786659.972478,1555786743.7667243,19262
/pylon5/mc3bggp/bspitz/Seals/WV03_20171106213306_10400100348A1500_17NOV06213306-P1BS-501920079040_01_P006_u08rf3031.tif,1555786744.0411656,1555786826.3448894,20594
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914011809_10400100323F6C00_17SEP14011809-P1BS-501946232020_01_P003_u08rf3031.tif,1555786826.5366344,1555786911.0733128,17690
/pylon5/mc3bggp/bspitz/Seals/WV03_20171130163032_1040010035D7FC00_17NOV30163032-P1BS-501934394100_01_P008_u08rf3031.tif,1555786911.296977,1555787000.1183083,22477
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001040447_1040010033166B00_17OCT01040447-P1BS-501946280060_01_P005_u08rf3031.tif,1555787000.3696027,1555787089.0371585,23452
/pylon5/mc3bggp/bspitz/Seals/WV03_20170908012010_1040010032112800_17SEP08012010-P1BS-501603137080_01_P004_u08rf3031.tif,1555787089.2769482,1555787181.821346,19838
/pylon5/mc3bggp/bspitz/Seals/WV03_20171031213730_1040010034C84700_17OCT31213730-P1BS-501920107010_01_P003_u08rf3031.tif,1555787182.1320255,1555787276.965828,21831
/pylon5/mc3bggp/bspitz/Seals/WV03_20170912004505_1040010032B12400_17SEP12004505-P1BS-501946253010_01_P003_u08rf3031.tif,1555787277.3251977,1555787366.506972,18991
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102203106_104001003497CB00_17NOV02203106-P1BS-501920087080_01_P005_u08rf3031.tif,1555787366.7619948,1555787450.359975,23185
/pylon5/mc3bggp/bspitz/Seals/WV03_20171205062220_1040010037899400_17DEC05062220-P1BS-501954095070_01_P003_u08rf3031.tif,1555787450.6065147,1555787571.887028,24100
/pylon5/mc3bggp/bspitz/Seals/WV03_20171119115811_10400100355FAB00_17NOV19115811-P1BS-501932131010_01_P001_u08rf3031.tif,1555787572.312877,1555787661.0471632,20821
/pylon5/mc3bggp/bspitz/Seals/WV03_20170911132611_10400100322AB900_17SEP11132611-P1BS-501603140060_01_P001_u08rf3031.tif,1555787661.3133821,1555787748.4818084,18617
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907234442_1040010031ACF900_17SEP07234442-P1BS-501669245060_01_P002_u08rf3031.tif,1555787748.726074,1555787864.9534373,24073
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219065208_1040010036A3A500_17DEC19065208-P1BS-501956602100_01_P007_u08rf3031.tif,1555787865.24945,1555787943.2168589,17876
/pylon5/mc3bggp/bspitz/Seals/WV03_20170927142235_10400100332D4B00_17SEP27142235-P1BS-501946285100_01_P009_u08rf3031.tif,1555787943.4229302,1555788038.1587212,23017
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218081557_104001003616F100_17DEC18081557-P1BS-501934414010_01_P008_u08rf3031.tif,1555788038.3730795,1555788135.8119702,23573
/pylon5/mc3bggp/bspitz/Seals/WV03_20171118163257_1040010035C09300_17NOV18163257-P1BS-501934302100_01_P001_u08rf3031.tif,1555788136.101763,1555788208.4671404,17977
/pylon5/mc3bggp/bspitz/Seals/WV03_20171004161222_10400100343BC100_17OCT04161222-P1BS-501862149020_01_P006_u08rf3031.tif,1555788208.6513176,1555788299.7862287,21890
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109042908_10400100343EA500_17NOV09042908-P1BS-501917426030_01_P004_u08rf3031.tif,1555788299.9879136,1555788388.8542736,19414
/pylon5/mc3bggp/bspitz/Seals/WV03_20170908173250_1040010032554C00_17SEP08173250-P1BS-501603145040_01_P001_u08rf3031.tif,1555788389.231771,1555788464.3736517,19393
/pylon5/mc3bggp/bspitz/Seals/WV03_20171028043617_1040010033B9BE00_17OCT28043617-P1BS-501896779030_01_P004_u08rf3031.tif,1555788464.6209242,1555788528.2017379,20175
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027122838_1040010033354400_17OCT27122838-P1BS-501896680100_01_P001_u08rf3031.tif,1555788528.3548522,1555788621.06076,22094
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140746_1040010034520600_17OCT21140746-P1BS-501862154020_01_P003_u08rf3031.tif,1555788621.3823931,1555788709.070534,24033
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140630_1040010031BE8A00_17SEP01140630-P1BS-501669350010_01_P004_u08rf3031.tif,1555788709.4847398,1555788778.8707278,20181
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213101306_1040010036737300_17DEC13101306-P1BS-501956506070_01_P004_u08rf3031.tif,1555788779.0873296,1555788873.779398,20413
/pylon5/mc3bggp/bspitz/Seals/WV03_20180107194948_1040010036C1DB00_18JAN07194948-P1BS-501968311080_01_P005_u08rf3031.tif,1555788874.087303,1555788969.6469667,24062
/pylon5/mc3bggp/bspitz/Seals/WV03_20171210140717_1040010037BFEF00_17DEC10140717-P1BS-501954113050_01_P001_u08rf3031.tif,1555788970.001612,1555789049.5841188,18347
/pylon5/mc3bggp/bspitz/Seals/WV03_20171108202718_1040010034929800_17NOV08202718-P1BS-501920086090_01_P007_u08rf3031.tif,1555789049.835889,1555789134.987387,23534
/pylon5/mc3bggp/bspitz/Seals/WV03_20171030212033_1040010035A3EE00_17OCT30212033-P1BS-501934283030_01_P004_u08rf3031.tif,1555789135.221104,1555789218.447413,20830
/pylon5/mc3bggp/bspitz/Seals/WV03_20170717230416_104001002F103B00_17JUL17230416-P1BS-501497929030_01_P006_u08rf3031.tif,1555789218.6293209,1555789282.4512916,18978
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914190652_10400100334C5100_17SEP14190652-P1BS-501946292070_01_P003_u08rf3031.tif,1555789282.65124,1555789351.20487,11574
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027140333_1040010034872700_17OCT27140333-P1BS-501920081070_01_P011_u08rf3031.tif,1555789351.394856,1555789444.3156724,21270
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217080137_10400100362B1100_17DEC17080137-P1BS-501953993070_01_P008_u08rf3031.tif,1555789444.6215909,1555789518.168153,20935
/pylon5/mc3bggp/bspitz/Seals/WV03_20171111211300_104001003445DC00_17NOV11211300-P1BS-501917427080_01_P004_u08rf3031.tif,1555789518.524749,1555789604.4618304,21988
/pylon5/mc3bggp/bspitz/Seals/WV03_20170921012916_1040010032977200_17SEP21012916-P1BS-501946248010_01_P003_u08rf3031.tif,1555789604.706014,1555789712.5086553,25070
/pylon5/mc3bggp/bspitz/Seals/WV03_20170913171401_1040010032983500_17SEP13171401-P1BS-501946249040_01_P011_u08rf3031.tif,1555789713.0437212,1555789813.1233191,20948
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907220841_1040010030B0A500_17SEP07220841-P1BS-501667677050_01_P002_u08rf3031.tif,1555789813.4264934,1555789901.771665,21955
/pylon5/mc3bggp/bspitz/Seals/WV03_20171208133602_104001003418F800_17DEC08133602-P1BS-501896789070_01_P007_u08rf3031.tif,1555789902.0257125,1555789995.287386,24085
/pylon5/mc3bggp/bspitz/Seals/WV03_20171004094647_1040010034BB0C00_17OCT04094647-P1BS-501862237050_01_P004_u08rf3031.tif,1555789995.697543,1555790078.1582365,18913
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905083927_1040010033990D00_17SEP05083927-P1BS-501603216030_01_P004_u08rf3031.tif,1555790078.6104,1555790116.2696304,8142
/pylon5/mc3bggp/bspitz/Seals/WV03_20171023143821_1040010034CFCC00_17OCT23143821-P1BS-501862242010_01_P002_u08rf3031.tif,1555790116.405001,1555790221.7395904,21537
/pylon5/mc3bggp/bspitz/Seals/WV03_20170928161544_1040010032C71000_17SEP28161544-P1BS-501946273090_01_P005_u08rf3031.tif,1555790222.3604863,1555790309.1590443,22835
/pylon5/mc3bggp/bspitz/Seals/WV03_20171023000438_10400100321C5900_17OCT23000438-P1BS-501861930050_01_P006_u08rf3031.tif,1555790309.6926715,1555790410.5400078,22997
/pylon5/mc3bggp/bspitz/Seals/WV03_20170912165912_10400100316BFC00_17SEP12165912-P1BS-501946161080_01_P003_u08rf3031.tif,1555790410.9457932,1555790494.2394578,21327
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222637_1040010033759000_17SEP02222637-P1BS-501603231080_01_P001_u08rf3031.tif,1555790494.591826,1555790563.1390655,20081
/pylon5/mc3bggp/bspitz/Seals/WV03_20171006083729_1040010033113200_17OCT06083729-P1BS-501861939080_01_P008_u08rf3031.tif,1555790563.3665075,1555790650.0664437,20450
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224125627_1040010037146C00_17DEC24125627-P1BS-501968333100_01_P003_u08rf3031.tif,1555790650.3000154,1555790749.5924692,23551
/pylon5/mc3bggp/bspitz/Seals/WV03_20171111050042_10400100342E7F00_17NOV11050042-P1BS-501896797090_01_P010_u08rf3031.tif,1555790749.9366348,1555790788.177525,9090
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218081559_104001003616F100_17DEC18081559-P1BS-501934414010_01_P010_u08rf3031.tif,1555790788.3293238,1555790833.1151314,7609
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229042850_1040010035CF1800_17DEC29042850-P1BS-501934395010_01_P005_u08rf3031.tif,1555790833.262918,1555790898.8163106,22303
/pylon5/mc3bggp/bspitz/Seals/WV03_20171123143355_1040010034307A00_17NOV23143355-P1BS-501896798100_01_P003_u08rf3031.tif,1555790899.019818,1555790973.4385521,17977
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925072253_1040010033869B00_17SEP25072253-P1BS-501946333020_01_P002_u08rf3031.tif,1555790973.7795432,1555791065.8366978,20266
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221040238_1040010037485300_17DEC21040238-P1BS-501968386030_01_P001_u08rf3031.tif,1555791066.2446985,1555791148.4649343,22598
/pylon5/mc3bggp/bspitz/Seals/WV03_20171101054521_10400100364BCD00_17NOV01054521-P1BS-501954085020_01_P002_u08rf3031.tif,1555791148.7356844,1555791242.370205,21090
/pylon5/mc3bggp/bspitz/Seals/WV03_20171105032626_104001003499CC00_17NOV05032626-P1BS-501920089020_01_P007_u08rf3031.tif,1555791242.7259288,1555791321.0703676,22369
/pylon5/mc3bggp/bspitz/Seals/WV03_20170903224212_10400100320C2900_17SEP03224212-P1BS-501603137070_01_P001_u08rf3031.tif,1555791321.282164,1555791408.3842916,22089
/pylon5/mc3bggp/bspitz/Seals/WV03_20170613124035_104001002D9DA600_17JUN13124035-P1BS-501461471070_01_P008_u08rf3031.tif,1555791408.6364782,1555791496.991218,21454
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828095008_10400100321C1500_17AUG28095008-P1BS-501603138040_01_P004_u08rf3031.tif,1555791497.3790288,1555791556.9290755,21280
/pylon5/mc3bggp/bspitz/Seals/WV03_20171003061329_1040010033B58500_17OCT03061329-P1BS-501862034030_01_P001_u08rf3031.tif,1555791557.1039202,1555791643.8824658,18856
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925072255_1040010033869B00_17SEP25072255-P1BS-501946333020_01_P004_u08rf3031.tif,1555791644.2422059,1555791698.020751,10990
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224192554_1040010035B58800_17DEC24192554-P1BS-501934296020_01_P008_u08rf3031.tif,1555791698.2060246,1555791744.2059724,8617
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212175402_1040010036569100_17DEC12175402-P1BS-501954093030_01_P002_u08rf3031.tif,1555791744.3598733,1555791832.1412866,20469
/pylon5/mc3bggp/bspitz/Seals/WV03_20171006213425_10400100333A7700_17OCT06213425-P1BS-501862010020_01_P008_u08rf3031.tif,1555791832.4609094,1555791914.057989,20564
/pylon5/mc3bggp/bspitz/Seals/WV03_20171103124502_104001003476DC00_17NOV03124502-P1BS-501917444070_01_P006_u08rf3031.tif,1555791914.2617679,1555792014.810989,23647
/pylon5/mc3bggp/bspitz/Seals/WV03_20171006020935_10400100335BAA00_17OCT06020935-P1BS-501862017100_01_P005_u08rf3031.tif,1555792015.1582916,1555792091.7342145,19353
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222555_10400100310E2400_17SEP02222555-P1BS-501984206030_01_P002_u08rf3031.tif,1555792092.0192187,1555792186.9224102,23077
/pylon5/mc3bggp/bspitz/Seals/WV03_20170710131429_104001002F5F3200_17JUL10131429-P1BS-501992566010_01_P001_u08rf3031.tif,1555792187.2390966,1555792273.2038121,21038
/pylon5/mc3bggp/bspitz/Seals/WV03_20171025035011_10400100340BCC00_17OCT25035011-P1BS-501896785060_01_P001_u08rf3031.tif,1555792273.5448916,1555792348.2268643,22035
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222544_10400100310D2700_17SEP02222544-P1BS-501667685050_01_P006_u08rf3031.tif,1555792348.4942453,1555792425.9495804,20999
/pylon5/mc3bggp/bspitz/Seals/WV03_20170919104152_10400100332ACF00_17SEP19104152-P1BS-501946282070_01_P006_u08rf3031.tif,1555792426.2624424,1555792511.0437346,21304
/pylon5/mc3bggp/bspitz/Seals/WV03_20170916211454_10400100325F3100_17SEP16211454-P1BS-501986281050_01_P002_u08rf3031.tif,1555792511.307809,1555792587.270018,22593
/pylon5/mc3bggp/bspitz/Seals/WV03_20171020135200_1040010033635600_17OCT20135200-P1BS-501862018050_01_P006_u08rf3031.tif,1555792587.5110462,1555792668.431206,19830
/pylon5/mc3bggp/bspitz/Seals/WV03_20171019084607_10400100333D1B00_17OCT19084607-P1BS-501862010100_01_P005_u08rf3031.tif,1555792668.7321095,1555792756.806057,24494
/pylon5/mc3bggp/bspitz/Seals/WV03_20171120041512_1040010035814900_17NOV20041512-P1BS-501932171020_01_P005_u08rf3031.tif,1555792757.0965216,1555792842.082282,19000
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905101801_10400100323D5600_17SEP05101801-P1BS-501603143070_01_P002_u08rf3031.tif,1555792842.316623,1555792914.1207187,20279
/pylon5/mc3bggp/bspitz/Seals/WV03_20170922144149_1040010033AFD100_17SEP22144149-P1BS-501946342070_01_P006_u08rf3031.tif,1555792914.3537672,1555792996.4969726,21757
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610231020_104001002E331300_17JUN10231020-P1BS-501946149020_01_P008_u08rf3031.tif,1555792996.9328454,1555793069.9145365,21106
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930034958_1040010032459400_17SEP30034958-P1BS-501946234070_01_P002_u08rf3031.tif,1555793070.1536303,1555793146.8130898,19315
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930213906_1040010033B42A00_17SEP30213906-P1BS-501946341080_01_P004_u08rf3031.tif,1555793147.03761,1555793227.4619184,19608
/pylon5/mc3bggp/bspitz/Seals/WV03_20171108055817_1040010034B18C00_17NOV08055817-P1BS-501920097080_01_P003_u08rf3031.tif,1555793227.7883117,1555793332.6102722,20963
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914043404_1040010033B73100_17SEP14043404-P1BS-501946342010_01_P007_u08rf3031.tif,1555793332.942134,1555793421.9465969,20048
/pylon5/mc3bggp/bspitz/Seals/WV03_20170904064837_10400100326A9700_17SEP04064837-P1BS-501603147100_01_P003_u08rf3031.tif,1555793422.2312393,1555793508.532548,18700
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229235337_10400100365BA200_17DEC29235337-P1BS-501956492040_01_P002_u08rf3031.tif,1555793508.7899885,1555793607.4159284,23521
/pylon5/mc3bggp/bspitz/Seals/WV03_20171230142802_10400100367D9900_17DEC30142802-P1BS-501956515030_01_P003_u08rf3031.tif,1555793607.705212,1555793690.5638576,20281
