Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20170906085620_10400100328C1D00_17SEP06085620-P1BS-501603150050_01_P001_u08rf3031.tif,1555783043.6671169,1555783097.7076516,18853
/pylon5/mc3bggp/bspitz/Seals/WV03_20171201195845_10400100341BBC00_17DEC01195845-P1BS-501896792070_01_P006_u08rf3031.tif,1555783097.7853665,1555783168.7768395,21352
/pylon5/mc3bggp/bspitz/Seals/WV03_20170921174144_104001003360ED00_17SEP21174144-P1BS-501946296090_01_P003_u08rf3031.tif,1555783168.9408417,1555783257.8324244,23994
/pylon5/mc3bggp/bspitz/Seals/WV03_20171005162756_1040010033699700_17OCT05162756-P1BS-501862020100_01_P002_u08rf3031.tif,1555783258.0898743,1555783349.5287445,22526
/pylon5/mc3bggp/bspitz/Seals/WV03_20170920123601_1040010034C31B00_17SEP20123601-P1BS-501946357040_01_P008_u08rf3031.tif,1555783349.7204502,1555783424.5397415,20309
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001071918_1040010033AA7900_17OCT01071918-P1BS-501946338040_01_P005_u08rf3031.tif,1555783424.7325659,1555783492.3164506,15725
/pylon5/mc3bggp/bspitz/Seals/WV03_20171127073336_104001003523AE00_17NOV27073336-P1BS-501922390030_01_P005_u08rf3031.tif,1555783492.4859853,1555783555.2322595,19088
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930182646_1040010032D08D00_17SEP30182646-P1BS-501987125060_01_P009_u08rf3031.tif,1555783555.4089196,1555783636.7669532,20814
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212113300_1040010036442E00_17DEC12113300-P1BS-501954009010_01_P010_u08rf3031.tif,1555783636.9587135,1555783714.4785376,21064
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016160505_104001003597C700_17OCT16160505-P1BS-501862249060_01_P002_u08rf3031.tif,1555783714.6704998,1555783801.899727,24498
/pylon5/mc3bggp/bspitz/Seals/WV03_20171230142736_10400100368CCB00_17DEC30142736-P1BS-501956589010_01_P003_u08rf3031.tif,1555783802.0789275,1555783887.5785239,22980
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216221144_1040010036859A00_17DEC16221144-P1BS-501956519100_01_P008_u08rf3031.tif,1555783887.7781942,1555783962.115116,22403
/pylon5/mc3bggp/bspitz/Seals/WV03_20171026040446_1040010032C6B300_17OCT26040446-P1BS-501896677020_01_P010_u08rf3031.tif,1555783962.3138218,1555784004.9119537,14050
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027122945_10400100352F1800_17OCT27122945-P1BS-501922399030_01_P001_u08rf3031.tif,1555784004.9998305,1555784074.8074985,18549
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016192019_10400100340AB300_17OCT16192019-P1BS-501862139010_01_P002_u08rf3031.tif,1555784074.9785092,1555784141.0042331,19810
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222536_10400100310D2700_17SEP02222536-P1BS-501667685050_01_P001_u08rf3031.tif,1555784141.116853,1555784202.887196,19482
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930070423_1040010032C25700_17SEP30070423-P1BS-501946273020_01_P002_u08rf3031.tif,1555784203.0398397,1555784299.4232616,21975
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215072050_10400100363C5D00_17DEC15072050-P1BS-501954004080_01_P001_u08rf3031.tif,1555784299.6457956,1555784381.342462,22180
/pylon5/mc3bggp/bspitz/Seals/WV03_20170717230413_104001002F103B00_17JUL17230413-P1BS-501497929030_01_P004_u08rf3031.tif,1555784381.5782323,1555784441.1896741,19086
/pylon5/mc3bggp/bspitz/Seals/WV03_20171011081913_1040010034168C00_17OCT11081913-P1BS-501862141020_01_P003_u08rf3031.tif,1555784441.3778472,1555784508.648534,19308
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129192647_1040010036071300_17NOV29192647-P1BS-501934403040_01_P003_u08rf3031.tif,1555784508.8414617,1555784575.8806624,21377
/pylon5/mc3bggp/bspitz/Seals/WV03_20171121234543_10400100343F2100_17NOV21234543-P1BS-501917425010_01_P001_u08rf3031.tif,1555784576.0603108,1555784654.8712823,21678
/pylon5/mc3bggp/bspitz/Seals/WV03_20171028043612_1040010033B9BE00_17OCT28043612-P1BS-501896779030_01_P001_u08rf3031.tif,1555784655.1584797,1555784703.5602443,18747
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930070421_1040010032C25700_17SEP30070421-P1BS-501946273020_01_P001_u08rf3031.tif,1555784703.7407863,1555784794.1678817,20468
/pylon5/mc3bggp/bspitz/Seals/WV03_20171014135440_1040010034033600_17OCT14135440-P1BS-501862138030_01_P002_u08rf3031.tif,1555784794.4291224,1555784873.1526506,20344
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102220522_1040010034883F00_17NOV02220522-P1BS-501920081100_01_P002_u08rf3031.tif,1555784873.3818524,1555784946.0970428,21547
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131706_1040010036439D00_17DEC13131706-P1BS-501954010060_01_P003_u08rf3031.tif,1555784946.3137062,1555785002.5267558,17546
