Image,Start,End,Sift
configure,1580452195.465112,1580452195.502002,0
connect,1580452195.505904,1580452196.50715,0
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0089_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111225130502_103001001071A100_11DEC25130502-M1BS-052888272030_01_P001_u08rf3031.tif,1580452196.512248,1580452201.054685,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0004_Panel3.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20151216141822_103001004FACD500_15DEC16141822-M1BS-500637522020_01_P008_u08rf3031.tif,1580452201.06026,1580452204.048354,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0002_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20151216141940_103001004D155E00_15DEC16141940-M1BS-500637503050_01_P008_u08rf3031.tif,1580452204.054422,1580452207.441608,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0003_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20151216141940_103001004D155E00_15DEC16141940-M1BS-500637503050_01_P008_u08rf3031.tif,1580452207.447784,1580452210.424801,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0005_Panel4.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20160123205234_1030010051A98200_16JAN23205234-M1BS-500638387040_01_P002_u08rf3031.tif,1580452210.430948,1580452213.274266,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0247_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20151216141939_103001004D155E00_15DEC16141939-M1BS-500637503050_01_P007_u08rf3031.tif,1580452213.280397,1580452220.995355,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0251_Panel6.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20151205205948_103001004E6C0B00_15DEC05205948-M1BS-500637505080_01_P002_u08rf3031.tif,1580452221.001617,1580452228.170775,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0248_Panel3.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20160123205234_1030010051A98200_16JAN23205234-M1BS-500638387040_01_P002_u08rf3031.tif,1580452228.176747,1580452232.641816,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20111230181811_10300100101D1700_11DEC30181811-M1BS-052888260070_01_P001_u08rf3031.tif,1580452232.648027,1580452238.985781,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20100115141734_10300100037E2100_10JAN15141734-M1BS-052883753090_01_P004_u08rf3031.tif,1580452238.991385,1580452244.795752,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20120207210246_10300100115E5A00_12FEB07210246-M1BS-052889668030_01_P001_u08rf3031.tif,1580452244.802355,1580452251.493435,1
disconnect,1580452251.499718,1580452252.500765,0
