ImageName,ImageSize,TTX,OutputReported,Tiles,UnitID
"WV03_20171202071233_1040010036578A00_17DEC02071233-P1BS-501954093050_01_P001_u08rf3031.tif""",1407,65.68370008468628,63.78,18104,18
"WV03_20170903031704_10400100322EC600_17SEP03031704-P1BS-501603140100_01_P006_u08rf3031.tif""",1278,67.29289984703064,65.41,21483,162
"WV03_20171120103830_1040010032AD0200_17NOV20103830-P1BS-501896675030_01_P010_u08rf3031.tif""",586,49.90840005874634,47.89,9224,2656
"WV03_20171104174654_104001003529D300_17NOV04174654-P1BS-501922394070_01_P001_u08rf3031.tif""",1234,67.54520010948181,65.43,18069,81
"WV03_20170909174921_1040010031A6B100_17SEP09174921-P1BS-501669244020_01_P003_u08rf3031.tif""",1972,105.45129990577698,100.37,20357,2621
"WV03_20171123031359_1040010035C5A600_17NOV23031359-P1BS-501934306090_01_P002_u08rf3031.tif""",257,14.904099941253662,13.06,4578,115
"WV03_20171230044602_1040010036D44200_17DEC30044602-P1BS-501968325080_01_P003_u08rf3031.tif""",1613,96.83140015602112,94.38,23559,3049
"WV03_20170929225813_10400100338A4A00_17SEP29225813-P1BS-501946335030_01_P001_u08rf3031.tif""",1342,82.68680000305176,80.42,20022,1607
"WV03_20171101054532_10400100364BCD00_17NOV01054532-P1BS-501954085020_01_P009_u08rf3031.tif""",1762,105.59440016746521,102.43,21018,1793
"WV03_20171225114145_1040010037D15800_17DEC25114145-P1BS-501954061100_01_P006_u08rf3031.tif""",1350,94.83030009269714,92.14,21465,1670
"WV03_20171212224422_1040010036158700_17DEC12224422-P1BS-501934412100_01_P001_u08rf3031.tif""",1315,69.14049983024597,66.97,18303,991
"WV03_20171118052001_10400100343B5B00_17NOV18052001-P1BS-501917423020_01_P002_u08rf3031.tif""",1713,118.62639999389648,110.31,21699,805
"WV03_20171126053811_10400100358E6100_17NOV26053811-P1BS-501932179090_01_P002_u08rf3031.tif""",902,104.19799995422363,95.06,17744,872
"WV03_20171104143135_104001003434D100_17NOV04143135-P1BS-501917421050_01_P007_u08rf3031.tif""",1460,85.84430003166199,83.48,19952,2288
"WV03_20170921012828_1040010033CF8000_17SEP21012828-P1BS-501946348050_01_P005_u08rf3031.tif""",789,79.73339986801147,77.35,18928,428
"WV03_20171028043614_1040010033B9BE00_17OCT28043614-P1BS-501896779030_01_P002_u08rf3031.tif""",979,63.58090019226074,61.33,20207,908
"WV03_20170907041915_10400100325D0E00_17SEP07041915-P1BS-501603145100_01_P003_u08rf3031.tif""",1885,78.46880006790161,76.25,18376,2266
"WV03_20170921062058_104001003371D900_17SEP21062058-P1BS-501946300010_01_P002_u08rf3031.tif""",903,103.80049991607666,97.65,19295,552
"WV03_20170818134122_10400100311A6D00_17AUG18134122-P1BS-501669219040_01_P011_u08rf3031.tif""",866,146.26959991455078,143.9,23541,525
"WV03_20171016192019_10400100340AB300_17OCT16192019-P1BS-501862139010_01_P002_u08rf3031.tif""",1684,77.81420016288757,74.27,19810,2211
"WV03_20171118033505_1040010035802000_17NOV18033505-P1BS-501932170050_01_P009_u08rf3031.tif""",1646,80.29749989509583,77.27,23630,2385
"WV03_20171113070935_10400100350B5900_17NOV13070935-P1BS-501920249050_01_P002_u08rf3031.tif""",777,83.2662000656128,76.1,19257,1237
"WV03_20170922144258_1040010033327700_17SEP22144258-P1BS-501946286070_01_P009_u08rf3031.tif""",1180,71.11439990997314,68.78,19732,1240
"WV03_20171228135601_10400100358E6900_17DEC28135601-P1BS-501932180020_01_P006_u08rf3031.tif""",1199,92.06430006027222,89.07,23568,878
"WV03_20171119213934_10400100353D7F00_17NOV19213934-P1BS-501922410010_01_P004_u08rf3031.tif""",270,25.95870018005371,17.32,4025,2282
"WV03_20170912165915_10400100316BFC00_17SEP12165915-P1BS-501946161080_01_P005_u08rf3031.tif""",1106,84.81239986419678,82.6,21406,422
"WV03_20171221040240_1040010037485300_17DEC21040240-P1BS-501968386030_01_P002_u08rf3031.tif""",1559,84.38240003585815,82.17,24086,2316
"WV03_20170818134113_10400100311A6D00_17AUG18134113-P1BS-501669219040_01_P006_u08rf3031.tif""",869,108.36680006980896,93.62,23556,2361
"WV03_20171212113405_10400100362F7B00_17DEC12113405-P1BS-501953997040_01_P011_u08rf3031.tif""",799,84.3454999923706,80.6,20895,455
"WV03_20171213131559_10400100379A3800_17DEC13131559-P1BS-501954103010_01_P006_u08rf3031.tif""",262,74.38809990882874,71.97,21652,975
"WV03_20171120103852_104001003449C900_17NOV20103852-P1BS-501917428070_01_P009_u08rf3031.tif""",1484,103.90400004386902,94.63,21458,902
"WV03_20171106132516_104001003454F400_17NOV06132516-P1BS-501917431050_01_P001_u08rf3031.tif""",1532,87.88280010223389,82.36,18015,558
"WV03_20171219212128_1040010037883600_17DEC19212128-P1BS-501954096050_01_P004_u08rf3031.tif""",857,68.10430002212524,59.03,18165,896
"WV03_20180108003512_104001003810BA00_18JAN08003512-P1BS-501954066040_01_P002_u08rf3031.tif""",393,34.354300022125244,32.14,4168,1347
"WV03_20171006231019_104001003429B800_17OCT06231019-P1BS-501862145060_01_P001_u08rf3031.tif""",1646,102.68189978599548,91.53,20447,1330
"WV03_20170926024726_104001003368DB00_17SEP26024726-P1BS-501946299050_01_P001_u08rf3031.tif""",1814,80.91880011558533,78.03999999999998,20083,2726
"WV03_20171016125050_1040010034323300_17OCT16125050-P1BS-501989207060_01_P009_u08rf3031.tif""",962,66.16860008239746,64.23,20601,12
"WV03_20171023143921_1040010034B64D00_17OCT23143921-P1BS-501862236020_01_P005_u08rf3031.tif""",1111,66.3043999671936,64.52,21327,186
"WV03_20180103073028_10400100369EEE00_18JAN03073028-P1BS-501956601030_01_P007_u08rf3031.tif""",1380,70.69340014457703,68.75,18956,65
