Image,Start,End,Sift
configure,1580489570.777793,1580489570.781298,0
connect,1580489570.784863,1580489571.786143,0
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA256832V0232_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111212160201_103001000FBF5200_11DEC12160201-M1BS-052850989070_01_P001_u08rf3031.tif,1580489571.790773,1580489579.14427,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0091_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111227133152_1030010010368D00_11DEC27133152-M1BS-052888284040_01_P001_u08rf3031.tif,1580489579.150262,1580489582.510497,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0091_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111212160201_103001000FBF5200_11DEC12160201-M1BS-052850989070_01_P001_u08rf3031.tif,1580489582.516353,1580489585.858473,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA256832V0230_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111227133152_1030010010368D00_11DEC27133152-M1BS-052888284040_01_P001_u08rf3031.tif,1580489585.864457,1580489593.863101,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA256832V0230_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111225130502_103001001071A100_11DEC25130502-M1BS-052888272030_01_P001_u08rf3031.tif,1580489593.869007,1580489601.793882,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0089_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111227133152_1030010010368D00_11DEC27133152-M1BS-052888284040_01_P001_u08rf3031.tif,1580489601.799918,1580489606.373134,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0089_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111212160201_103001000FBF5200_11DEC12160201-M1BS-052850989070_01_P001_u08rf3031.tif,1580489606.379151,1580489611.067129,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0004_Panel3.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20160123205233_1030010051A98200_16JAN23205233-M1BS-500638387040_01_P001_u08rf3031.tif,1580489611.073305,1580489614.104556,1
