Image,Start,End,Ransac
configure,1581713325.033082,1581713325.035078,0
connect,1581713325.038967,1581713325.039579,0
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_orthoWV02_11OCT032209478-P1BS-103001000ED7F000_u08rf3031.csv,1581713329.051892,1581713330.355237,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_orthoWV02_10NOV072120514-P1BS-103001000786CD00_u08rf3031.csv,1581713331.363026,1581713331.609793,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_orthoQB02_05OCT232129321-P1BS-10100100049AF100_u08rf3031.csv,1581713332.618048,1581713332.869614,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_WV01_20180108004242_102001006C274F00_18JAN08004242-P1BS-502002232100_01_P002_u08rf3031.csv,1581713338.88722,1581713339.131869,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_orthoQB02_05OCT312119411-P1BS-10100100049F2900_u08rf3031.csv,1581713341.141939,1581713341.38555,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_WV01_20180130002442_102001006FE52B00_18JAN30002442-P1BS-502183693030_01_P002_u08rf3031.csv,1581713343.395123,1581713343.628109,1
ransaced_matches_[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031_[BRDM]_WV01_20170913232712_1020010067A4BE00_17SEP13232712-P1BS-501656198090_01_P006_u08rf3031.csv,1581713344.636547,1581713344.86154,1
ransaced_matches_[ROOK]_WV02_20180302045611_1030010079A49200_18MAR02045611-P1BS-502097182030_01_P003_u08rf3031_[ROOK]_WV01_20170121080230_102001005E545400_17JAN21080230-P1BS-501170702020_01_P003_u08rf3031.csv,1581713345.869579,1581713346.194719,1
ransaced_matches_[ROOK]_WV02_20180302045611_1030010079A49200_18MAR02045611-P1BS-502097182030_01_P003_u08rf3031_[ROOK]_WV01_20170112081136_102001005C8D6000_17JAN12081136-P1BS-501168201070_01_P003_u08rf3031.csv,1581713347.203461,1581713347.481483,1
ransaced_matches_[ROOK]_WV02_20180302045611_1030010079A49200_18MAR02045611-P1BS-502097182030_01_P003_u08rf3031_[ROOK]_WV03_20160216051632_1040010018307B00_16FEB16051632-P1BS-500638667040_01_P003_u08rf3031.csv,1581713348.488828,1581713348.753908,1
ransaced_matches_[IVAN]_WV03_20170829015920_1040010031980900_17AUG29015920-P1BS-501669240030_01_P004_u08rf3031_[IVAN]_WV03_20170829015920_1040010031980900_17AUG29015920-P1BS-501669240030_01_P004_u08rf3031.csv,1581713350.763879,1581713350.995502,1
ransaced_matches_[ROOK]_WV02_20180302045611_1030010079A49200_18MAR02045611-P1BS-502097182030_01_P003_u08rf3031_[ROOK]_WV01_20170408075342_102001005FBEF000_17APR08075342-P1BS-501280421010_01_P003_u08rf3031.csv,1581713351.001552,1581713351.26055,1
ransaced_matches_[ONGU]_WV03_20171113070828_10400100331E6A00_17NOV13070828-P1BS-501896680020_01_P003_u08rf3031_[ONGU]_WV03_20180323064723_10400100398B8100_18MAR23064723-P1BS-502107515010_01_P003_u08rf3031.csv,1581713356.275572,1581713356.82126,1
ransaced_matches_[ONGU]_WV03_20171113070828_10400100331E6A00_17NOV13070828-P1BS-501896680020_01_P003_u08rf3031_[ONGU]_WV03_20160227062848_10400100183C6400_16FEB27062848-P1BS-500638712010_01_P001_u08rf3031.csv,1581713356.826885,1581713357.422102,1
