Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901221014_104001003294D200_17SEP01221014-P1BS-501603231040_01_P001_u08rf3031.tif,1553698452.6384578,1553698512.3157432,18463
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224160955_10400100362D9400_17DEC24160955-P1BS-501953995080_01_P001_u08rf3031.tif,1553698512.5173297,1553698584.1105797,21959
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001233024_1040010033921900_17OCT01233024-P1BS-501946336020_01_P007_u08rf3031.tif,1553698584.2811058,1553698669.9859328,19747
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102060148_10400100346B4400_17NOV02060148-P1BS-501917439080_01_P009_u08rf3031.tif,1553698670.187696,1553698762.8723178,20982
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930213904_1040010033B42A00_17SEP30213904-P1BS-501946341080_01_P003_u08rf3031.tif,1553698763.0757484,1553698836.7331462,19269
/pylon5/mc3bggp/bspitz/Seals/WV03_20171030211946_104001003444FD00_17OCT30211946-P1BS-501917427040_01_P006_u08rf3031.tif,1553698836.8941684,1553698917.0074735,23427
/pylon5/mc3bggp/bspitz/Seals/WV03_20180106031952_10400100373A0E00_18JAN06031952-P1BS-501968384080_01_P006_u08rf3031.tif,1553698917.1866245,1553698983.0278099,21003
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224094904_10400100368BD000_17DEC24094904-P1BS-501956587020_01_P007_u08rf3031.tif,1553698983.159353,1553699053.0745869,14155
/pylon5/mc3bggp/bspitz/Seals/WV03_20171115074605_104001003589DA00_17NOV15074605-P1BS-501932178070_01_P010_u08rf3031.tif,1553699053.2523942,1553699104.7633657,10521
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215201917_10400100364C4700_17DEC15201917-P1BS-501954085080_01_P001_u08rf3031.tif,1553699104.898713,1553699159.8356278,17977
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217173631_10400100365FE100_17DEC17173631-P1BS-501956494100_01_P002_u08rf3031.tif,1553699159.9834056,1553699266.5432048,20670
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129130348_1040010036341000_17NOV29130348-P1BS-501954000070_01_P002_u08rf3031.tif,1553699266.8623693,1553699292.115568,4578
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231000825_1040010037D0D800_17DEC31000825-P1BS-501954063010_01_P002_u08rf3031.tif,1553699292.1874251,1553699373.9920511,19308
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131604_10400100379A3800_17DEC13131604-P1BS-501954103010_01_P009_u08rf3031.tif,1553699374.2906919,1553699469.6326194,21644
/pylon5/mc3bggp/bspitz/Seals/WV03_20180110221008_10400100371B6700_18JAN10221008-P1BS-501968375020_01_P009_u08rf3031.tif,1553699469.956264,1553699546.9000397,21746
/pylon5/mc3bggp/bspitz/Seals/WV03_20171112065903_10400100358EF500_17NOV12065903-P1BS-501932181060_01_P003_u08rf3031.tif,1553699547.1174302,1553699655.976623,23194
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221090205_1040010036A71B00_17DEC21090205-P1BS-501956606080_01_P008_u08rf3031.tif,1553699656.3591335,1553699731.1942816,19794
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229235444_1040010037181A00_17DEC29235444-P1BS-501968374060_01_P001_u08rf3031.tif,1553699731.4783854,1553699803.9114916,17837
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219132119_1040010037952A00_17DEC19132119-P1BS-501954101080_01_P009_u08rf3031.tif,1553699804.1414454,1553699897.4533045,20818
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902043837_104001003087F800_17SEP02043837-P1BS-501667671050_01_P004_u08rf3031.tif,1553699897.6862888,1553699973.1588724,20755
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140819_10400100352FF800_17OCT21140819-P1BS-501862246030_01_P002_u08rf3031.tif,1553699973.3182757,1553700052.092834,20390
/pylon5/mc3bggp/bspitz/Seals/WV03_20170920204058_104001003372D600_17SEP20204058-P1BS-501946298040_01_P001_u08rf3031.tif,1553700052.290172,1553700115.900736,18246
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218125912_104001003639F700_17DEC18125912-P1BS-501954000020_01_P010_u08rf3031.tif,1553700116.0822058,1553700160.0741332,9187
/pylon5/mc3bggp/bspitz/Seals/WV03_20171127234237_1040010034965000_17NOV27234237-P1BS-501920087050_01_P002_u08rf3031.tif,1553700160.201996,1553700264.0564117,24537
/pylon5/mc3bggp/bspitz/Seals/WV03_20170829131724_10400100323DC700_17AUG29131724-P1BS-501603143080_01_P003_u08rf3031.tif,1553700264.4157746,1553700352.720248,19849
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219212131_1040010037883600_17DEC19212131-P1BS-501954096050_01_P007_u08rf3031.tif,1553700352.9862382,1553700382.9862325,8160
/pylon5/mc3bggp/bspitz/Seals/WV03_20170903143753_104001003004D400_17SEP03143753-P1BS-501667599100_01_P008_u08rf3031.tif,1553700383.0952308,1553700454.8887188,20821
/pylon5/mc3bggp/bspitz/Seals/WV03_20171125213614_1040010036D75D00_17NOV25213614-P1BS-501968326070_01_P009_u08rf3031.tif,1553700455.1036284,1553700532.7912912,23148
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219132002_104001003678C300_17DEC19132002-P1BS-501956508090_01_P005_u08rf3031.tif,1553700532.9903572,1553700606.9025893,18017
/pylon5/mc3bggp/bspitz/Seals/WV03_20170922014459_1040010034D60200_17SEP22014459-P1BS-501946357070_01_P004_u08rf3031.tif,1553700607.1513171,1553700682.6059554,20125
/pylon5/mc3bggp/bspitz/Seals/WV03_20171116044147_1040010034821B00_17NOV16044147-P1BS-501920078010_01_P007_u08rf3031.tif,1553700682.8258684,1553700776.409984,21875
/pylon5/mc3bggp/bspitz/Seals/WV03_20170917065605_10400100311E4700_17SEP17065605-P1BS-501946156100_01_P001_u08rf3031.tif,1553700776.6558988,1553700865.9262235,19969
/pylon5/mc3bggp/bspitz/Seals/WV03_20171019070813_104001003347A700_17OCT19070813-P1BS-501862012100_01_P004_u08rf3031.tif,1553700866.1897345,1553700966.9474387,22128
/pylon5/mc3bggp/bspitz/Seals/WV03_20170917163916_1040010033B79A00_17SEP17163916-P1BS-501946342030_01_P007_u08rf3031.tif,1553700967.2634687,1553701043.0782783,19968
/pylon5/mc3bggp/bspitz/Seals/WV03_20170928193154_1040010033752400_17SEP28193154-P1BS-501946300030_01_P008_u08rf3031.tif,1553701043.2704625,1553701125.08817,20175
/pylon5/mc3bggp/bspitz/Seals/WV03_20171006083817_1040010032992C00_17OCT06083817-P1BS-501861935090_01_P005_u08rf3031.tif,1553701125.311552,1553701206.3054552,22566
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215184229_1040010035822800_17DEC15184229-P1BS-501932172010_01_P002_u08rf3031.tif,1553701206.5424385,1553701290.6818037,20455
/pylon5/mc3bggp/bspitz/Seals/WV03_20171026022753_10400100352F0F00_17OCT26022753-P1BS-501922399020_01_P002_u08rf3031.tif,1553701290.933145,1553701371.47771,21909
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224125629_1040010037146C00_17DEC24125629-P1BS-501968333100_01_P004_u08rf3031.tif,1553701371.7339656,1553701457.8970604,23604
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102203107_104001003497CB00_17NOV02203107-P1BS-501920087080_01_P006_u08rf3031.tif,1553701458.2006242,1553701547.6166694,22793
/pylon5/mc3bggp/bspitz/Seals/WV03_20171116143142_10400100342BF900_17NOV16143142-P1BS-501896797020_01_P001_u08rf3031.tif,1553701547.8205128,1553701608.0576363,18074
/pylon5/mc3bggp/bspitz/Seals/WV03_20171110124949_1040010034A17100_17NOV10124949-P1BS-501920091070_01_P001_u08rf3031.tif,1553701608.2803493,1553701682.8044257,18161
/pylon5/mc3bggp/bspitz/Seals/WV03_20170819135732_1040010031994E00_17AUG19135732-P1BS-501669240040_01_P007_u08rf3031.tif,1553701683.0982788,1553701764.064832,21945
/pylon5/mc3bggp/bspitz/Seals/WV03_20171125115946_10400100368AAB00_17NOV25115946-P1BS-501956588030_01_P009_u08rf3031.tif,1553701764.3660958,1553701846.225504,21510
/pylon5/mc3bggp/bspitz/Seals/WV03_20170915142944_1040010032149300_17SEP15142944-P1BS-501946169080_01_P003_u08rf3031.tif,1553701846.5492752,1553701934.1242256,22904
/pylon5/mc3bggp/bspitz/Seals/WV03_20171118002104_104001003484A700_17NOV18002104-P1BS-501920080060_01_P002_u08rf3031.tif,1553701934.4161906,1553702032.3813186,22305
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229235449_1040010037181A00_17DEC29235449-P1BS-501968374060_01_P004_u08rf3031.tif,1553702032.6707242,1553702114.942625,19321
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221040257_1040010036A1EC00_17DEC21040257-P1BS-501956604030_01_P004_u08rf3031.tif,1553702115.2329195,1553702143.7572944,8139
/pylon5/mc3bggp/bspitz/Seals/WV03_20171012213112_10400100347FF900_17OCT12213112-P1BS-501862226080_01_P007_u08rf3031.tif,1553702143.8535771,1553702166.461797,4642
/pylon5/mc3bggp/bspitz/Seals/WV03_20170909080628_104001003228C300_17SEP09080628-P1BS-501603140030_01_P001_u08rf3031.tif,1553702166.531763,1553702239.217818,18597
/pylon5/mc3bggp/bspitz/Seals/WV03_20171007134239_104001003465C200_17OCT07134239-P1BS-501862157090_01_P002_u08rf3031.tif,1553702239.3923995,1553702340.8931534,24605
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229042848_1040010035CF1800_17DEC29042848-P1BS-501934395010_01_P004_u08rf3031.tif,1553702341.299204,1553702444.2907,22347
/pylon5/mc3bggp/bspitz/Seals/WV03_20170928063402_1040010032CB6900_17SEP28063402-P1BS-501946274040_01_P004_u08rf3031.tif,1553702444.4680407,1553702542.9786382,19329
/pylon5/mc3bggp/bspitz/Seals/WV03_20170830231719_104001003076BE00_17AUG30231719-P1BS-501667669040_01_P005_u08rf3031.tif,1553702543.27112,1553702642.3073623,24571
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008220732_104001003349D500_17OCT08220732-P1BS-501862014040_01_P004_u08rf3031.tif,1553702642.683762,1553702728.1092386,21794
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930231421_10400100337DEB00_17SEP30231421-P1BS-501946301050_01_P002_u08rf3031.tif,1553702728.3848786,1553702834.6995609,25019
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219212021_10400100365A6E00_17DEC19212021-P1BS-501956491090_01_P003_u08rf3031.tif,1553702835.0336328,1553702911.1869133,23482
/pylon5/mc3bggp/bspitz/Seals/WV03_20180110140327_1040010036043F00_18JAN10140327-P1BS-501934401020_01_P006_u08rf3031.tif,1553702911.4738786,1553703010.881027,23028
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102135943_104001003504B100_17NOV02135943-P1BS-501920244060_01_P002_u08rf3031.tif,1553703011.2138333,1553703117.3643312,20852
/pylon5/mc3bggp/bspitz/Seals/WV03_20170927142335_1040010032270C00_17SEP27142335-P1BS-501946227080_01_P004_u08rf3031.tif,1553703117.6669266,1553703316.1000216,20367
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027140233_1040010034574400_17OCT27140233-P1BS-501917434030_01_P010_u08rf3031.tif,1553703316.3225684,1553703411.4014626,23061
/pylon5/mc3bggp/bspitz/Seals/WV03_20170915142942_1040010032149300_17SEP15142942-P1BS-501946169080_01_P002_u08rf3031.tif,1553703411.6668677,1553703516.3073235,22912
/pylon5/mc3bggp/bspitz/Seals/WV03_20170912165828_1040010032781200_17SEP12165828-P1BS-501946242040_01_P008_u08rf3031.tif,1553703516.551941,1553703603.8493068,21896
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930133127_104001003349FD00_17SEP30133127-P1BS-501987136100_01_P002_u08rf3031.tif,1553703604.0966072,1553703701.389047,24068
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109235409_104001003376F300_17NOV09235409-P1BS-501896773100_01_P009_u08rf3031.tif,1553703701.71241,1553703813.421305,23545
/pylon5/mc3bggp/bspitz/Seals/WV03_20171121140416_1040010035CB9200_17NOV21140416-P1BS-501934391080_01_P001_u08rf3031.tif,1553703813.7579677,1553703882.6844902,17979
