Filename,Size
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131553_10400100379A3800_17DEC13131553-P1BS-501954103010_01_P002_u08rf3031.tif,108
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114218_10400100350EF600_17DEC07114218-P1BS-501920250040_01_P008_u08rf3031.tif,129
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212045633_1040010038A27200_17DEC12045633-P1BS-501954070090_01_P002_u08rf3031.tif,147
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221090307_10400100363ECE00_17DEC21090307-P1BS-501954005060_01_P010_u08rf3031.tif,153
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114057_10400100360DC300_17DEC07114057-P1BS-501934408030_01_P006_u08rf3031.tif,157
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114051_10400100360DC300_17DEC07114051-P1BS-501934408030_01_P002_u08rf3031.tif,164
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131706_1040010036439D00_17DEC13131706-P1BS-501954010060_01_P003_u08rf3031.tif,168
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828130029_1040010032227400_17AUG28130029-P1BS-501603139060_01_P004_u08rf3031.tif,193
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231621_10400100317D4700_17AUG18231621-P1BS-501946162020_01_P001_u08rf3031.tif,201
/pylon5/mc3bggp/bspitz/Seals/WV03_20171119052646_1040010036A06A00_17NOV19052646-P1BS-501956601070_01_P002_u08rf3031.tif,207
/pylon5/mc3bggp/bspitz/Seals/WV03_20171108072717_10400100349AA900_17NOV08072717-P1BS-501920088040_01_P002_u08rf3031.tif,218
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216221053_1040010036916100_17DEC16221053-P1BS-501956592050_01_P010_u08rf3031.tif,224
/pylon5/mc3bggp/bspitz/Seals/WV03_20171113003924_1040010033B99500_17NOV13003924-P1BS-501896779020_01_P002_u08rf3031.tif,237
/pylon5/mc3bggp/bspitz/Seals/WV03_20170908123830_10400100317E9900_17SEP08123830-P1BS-501669236070_01_P004_u08rf3031.tif,243
/pylon5/mc3bggp/bspitz/Seals/WV03_20171123031359_1040010035C5A600_17NOV23031359-P1BS-501934306090_01_P002_u08rf3031.tif,257
/pylon5/mc3bggp/bspitz/Seals/WV03_20170927142350_1040010032270C00_17SEP27142350-P1BS-501946227080_01_P015_u08rf3031.tif,262
/pylon5/mc3bggp/bspitz/Seals/WV03_20171202023006_10400100354DC800_17DEC02023006-P1BS-501932117030_01_P010_u08rf3031.tif,267
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212210959_1040010037A33300_17DEC12210959-P1BS-501954104050_01_P010_u08rf3031.tif,276
