Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129192648_1040010036071300_17NOV29192648-P1BS-501934403040_01_P004_u08rf3031.tif,1553698456.95282,1553698521.5279732,21386
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002024352_1040010033BB5400_17OCT02024352-P1BS-501946343030_01_P007_u08rf3031.tif,1553698521.5797338,1553698596.2014704,20529
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027140228_1040010034574400_17OCT27140228-P1BS-501917434030_01_P007_u08rf3031.tif,1553698596.3792377,1553698680.4125862,23159
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907042016_1040010032A8E300_17SEP07042016-P1BS-501603153030_01_P005_u08rf3031.tif,1553698680.6478894,1553698770.1124666,24493
/pylon5/mc3bggp/bspitz/Seals/WV03_20170918151744_10400100322EE500_17SEP18151744-P1BS-501946228090_01_P005_u08rf3031.tif,1553698770.2863526,1553698841.0475235,24317
/pylon5/mc3bggp/bspitz/Seals/WV03_20171120103547_1040010033B37500_17NOV20103547-P1BS-501896778030_01_P008_u08rf3031.tif,1553698841.1792629,1553698911.5215216,20692
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930231330_104001003375A000_17SEP30231330-P1BS-501946300040_01_P002_u08rf3031.tif,1553698911.6643798,1553698990.1539364,19405
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216171955_104001003667C900_17DEC16171955-P1BS-501956499030_01_P001_u08rf3031.tif,1553698990.3313172,1553699068.749239,22222
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218125905_104001003639F700_17DEC18125905-P1BS-501954000020_01_P005_u08rf3031.tif,1553699068.9656682,1553699147.0529284,22139
/pylon5/mc3bggp/bspitz/Seals/WV03_20170915080124_1040010033501900_17SEP15080124-P1BS-501946292050_01_P007_u08rf3031.tif,1553699147.252046,1553699220.1014845,18981
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008135756_10400100331EBB00_17OCT08135756-P1BS-501861945060_01_P007_u08rf3031.tif,1553699220.2840648,1553699308.1637034,22824
/pylon5/mc3bggp/bspitz/Seals/WV03_20171125102026_104001003608E000_17NOV25102026-P1BS-501934405060_01_P002_u08rf3031.tif,1553699308.4171784,1553699391.4010181,21337
/pylon5/mc3bggp/bspitz/Seals/WV03_20171201230814_104001003646E900_17DEC01230814-P1BS-501954012040_01_P001_u08rf3031.tif,1553699391.6049716,1553699462.189863,20185
/pylon5/mc3bggp/bspitz/Seals/WV03_20171107134939_104001003602F100_17NOV07134939-P1BS-501934400080_01_P001_u08rf3031.tif,1553699462.3813367,1553699524.8204176,18097
/pylon5/mc3bggp/bspitz/Seals/WV03_20171106051909_1040010035A1A800_17NOV06051909-P1BS-501934282040_01_P001_u08rf3031.tif,1553699524.9674163,1553699610.9485753,20550
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905231346_1040010032CDF100_17SEP05231346-P1BS-501603156060_01_P005_u08rf3031.tif,1553699611.175006,1553699695.4937453,22172
/pylon5/mc3bggp/bspitz/Seals/WV03_20171219065206_1040010036A3A500_17DEC19065206-P1BS-501956602100_01_P005_u08rf3031.tif,1553699695.7478974,1553699766.8308663,17855
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008220615_1040010033948000_17OCT08220615-P1BS-501862029010_01_P003_u08rf3031.tif,1553699767.0147529,1553699843.891302,19978
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140452_10400100320CF700_17SEP01140452-P1BS-501603136050_01_P006_u08rf3031.tif,1553699844.0803797,1553699915.7464035,17869
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930133136_104001003349FD00_17SEP30133136-P1BS-501987136100_01_P007_u08rf3031.tif,1553699915.9745345,1553700013.6239727,24087
/pylon5/mc3bggp/bspitz/Seals/WV03_20171123031359_1040010035C5A600_17NOV23031359-P1BS-501934306090_01_P001_u08rf3031.tif,1553700013.9309223,1553700071.48428,17958
/pylon5/mc3bggp/bspitz/Seals/WV03_20171025035120_1040010034AF2400_17OCT25035120-P1BS-501920097030_01_P001_u08rf3031.tif,1553700071.6496923,1553700126.755599,17043
/pylon5/mc3bggp/bspitz/Seals/WV03_20171201195733_10400100346BE500_17DEC01195733-P1BS-501917438070_01_P001_u08rf3031.tif,1553700126.8916752,1553700205.9305177,20588
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021123434_1040010034CC6F00_17OCT21123434-P1BS-501862241070_01_P008_u08rf3031.tif,1553700206.1639266,1553700271.3382537,19757
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925135024_1040010033CA0500_17SEP25135024-P1BS-501946343080_01_P011_u08rf3031.tif,1553700271.4962206,1553700387.3368146,24547
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129192516_1040010036819100_17NOV29192516-P1BS-501956517080_01_P002_u08rf3031.tif,1553700387.6827903,1553700467.523303,23517
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002024240_1040010033BB8200_17OCT02024240-P1BS-501946344080_01_P001_u08rf3031.tif,1553700467.7556891,1553700543.8630838,22033
/pylon5/mc3bggp/bspitz/Seals/WV03_20171227152000_1040010036A2F900_17DEC27152000-P1BS-501956602050_01_P011_u08rf3031.tif,1553700544.072019,1553700577.920217,8849
/pylon5/mc3bggp/bspitz/Seals/WV03_20171023143826_1040010034CFCC00_17OCT23143826-P1BS-501862242010_01_P005_u08rf3031.tif,1553700578.0068307,1553700656.7317379,21326
/pylon5/mc3bggp/bspitz/Seals/WV03_20171120134716_1040010036736300_17NOV20134716-P1BS-501956508010_01_P008_u08rf3031.tif,1553700656.9235654,1553700754.92059,24022
