ImageName,ImageSize,TTX,OutputReported,Tiles,UnitID
WV03_20171220034615_10400100352EE900_17DEC20034615-P1BS-501922398010_01_P001_u08rf3031.tif,1221,58.35909986495972,56.66,17953,1955
WV03_20170905231248_1040010031B60C00_17SEP05231248-P1BS-501669248010_01_P002_u08rf3031.tif,1234,91.96119999885559,90.03999999999998,20535,1922
WV03_20170927142233_10400100332D4B00_17SEP27142233-P1BS-501946285100_01_P008_u08rf3031.tif,1609,92.35319995880127,90.28,23036,1578
WV03_20170929225901_1040010032BC7300_17SEP29225901-P1BS-501946272070_01_P001_u08rf3031.tif,1623,109.29699993133545,107.32,22612,1858
WV03_20171119213934_10400100353D7F00_17NOV19213934-P1BS-501922410010_01_P003_u08rf3031.tif,1500,84.64049983024597,82.84,19820,1596
WV03_20170930034849_10400100340AED00_17SEP30034849-P1BS-501946351090_01_P002_u08rf3031.tif,2395,80.23969984054565,78.24,23426,1402
WV03_20171020090025_1040010033BDB000_17OCT20090025-P1BS-501862037020_01_P001_u08rf3031.tif,1202,65.53949999809265,63.83,16379,1475
WV03_20170926024623_10400100320D9900_17SEP26024623-P1BS-501946168050_01_P001_u08rf3031.tif,1722,68.99559998512268,66.06,19446,2890
WV03_20171011081808_10400100343DE600_17OCT11081808-P1BS-501862149070_01_P005_u08rf3031.tif,2124,256.7086000442505,244.09,23577,2904
WV03_20171231000926_1040010036148400_17DEC31000926-P1BS-501934411100_01_P001_u08rf3031.tif,649,92.36249995231628,90.03999999999998,22264,2973
WV03_20171002042028_104001003388D600_17OCT02042028-P1BS-501946334080_01_P010_u08rf3031.tif,671,30.97450017929077,29.33,7636,389
WV03_20171215184230_1040010035822800_17DEC15184230-P1BS-501932172010_01_P003_u08rf3031.tif,1107,118.35140013694763,116.32,20275,2529
WV03_20171127073343_104001003523AE00_17NOV27073343-P1BS-501922390030_01_P010_u08rf3031.tif,615,71.2189998626709,69.28999999999999,19259,2809
WV03_20171022174210_1040010035255500_17OCT22174210-P1BS-501922391020_01_P010_u08rf3031.tif,622,28.74530005455017,27.19,8033,367
WV03_20171124145850_1040010035754300_17NOV24145850-P1BS-501932162070_01_P006_u08rf3031.tif,1105,79.71110010147095,77.84,20471,2453
WV03_20171210140717_1040010037BFEF00_17DEC10140717-P1BS-501954113050_01_P001_u08rf3031.tif,1382,87.41000008583069,84.18,18347,2424
WV03_20171012132259_10400100341DB600_17OCT12132259-P1BS-501862141090_01_P004_u08rf3031.tif,1684,96.1405999660492,94.11,23635,310
WV03_20171205205940_10400100368C9900_17DEC05205940-P1BS-501956587030_01_P007_u08rf3031.tif,1860,84.50669980049133,82.17,21809,284
WV03_20171017063554_1040010034422D00_17OCT17063554-P1BS-501862150070_01_P002_u08rf3031.tif,1509,94.08570003509521,92.03,18396,1148
WV03_20171119052707_1040010035263A00_17NOV19052707-P1BS-501922391100_01_P005_u08rf3031.tif,1417,100.79180002212524,97.64,22050,1032
WV03_20171020135051_1040010033C33D00_17OCT20135051-P1BS-501862132010_01_P005_u08rf3031.tif,1563,158.299800157547,155.81,23408,1045
WV03_20171108202714_1040010034929800_17NOV08202714-P1BS-501920086090_01_P005_u08rf3031.tif,2016,127.28379988670349,125.32,23161,2119
WV03_20170914155254_1040010033BB8600_17SEP14155254-P1BS-501946344100_01_P002_u08rf3031.tif,1347,70.50019979476929,68.56,19749,2063
WV03_20171202102926_10400100353C4D00_17DEC02102926-P1BS-501922408070_01_P002_u08rf3031.tif,932,95.08990001678467,93.03,23544,757
WV03_20171121140316_104001003414FE00_17NOV21140316-P1BS-501896788080_01_P006_u08rf3031.tif,1584,98.9621000289917,96.83,23806,2180
WV03_20171125151157_10400100362DB600_17NOV25151157-P1BS-501953996010_01_P002_u08rf3031.tif,1211,71.52369999885559,69.61,20772,720
