Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20170916162328_10400100335EED00_17SEP16162328-P1BS-501946295080_01_P005_u08rf3031.tif,1553541112.7891443,1553541189.2765186,23382
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215072107_10400100363C5D00_17DEC15072107-P1BS-501954004080_01_P010_u08rf3031.tif,1553541189.4342523,1553541283.4003117,24085
/pylon5/mc3bggp/bspitz/Seals/WV03_20171130163025_1040010035D7FC00_17NOV30163025-P1BS-501934394100_01_P004_u08rf3031.tif,1553541283.496787,1553541367.7607727,22373
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231000928_1040010036148400_17DEC31000928-P1BS-501934411100_01_P002_u08rf3031.tif,1553541367.947009,1553541462.597195,24110
/pylon5/mc3bggp/bspitz/Seals/WV03_20171120202018_1040010035873500_17NOV20202018-P1BS-501932175050_01_P004_u08rf3031.tif,1553541462.8605297,1553541537.1265194,21125
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229042948_10400100368CA000_17DEC29042948-P1BS-501956588090_01_P008_u08rf3031.tif,1553541537.3354292,1553541597.4533134,19192
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016223246_1040010033A15500_17OCT16223246-P1BS-501862031090_01_P003_u08rf3031.tif,1553541597.553261,1553541679.5322526,24014
/pylon5/mc3bggp/bspitz/Seals/WV03_20170929033428_10400100342DFD00_17SEP29033428-P1BS-501946350060_01_P002_u08rf3031.tif,1553541679.680456,1553541742.6647532,19821
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905083950_1040010032AAF400_17SEP05083950-P1BS-501603153040_01_P001_u08rf3031.tif,1553541742.7312496,1553541826.0082333,20978
/pylon5/mc3bggp/bspitz/Seals/WV03_20171123143401_1040010034307A00_17NOV23143401-P1BS-501896798100_01_P008_u08rf3031.tif,1553541826.1254656,1553541866.5992754,10451
/pylon5/mc3bggp/bspitz/Seals/WV03_20170923132011_1040010032CF9F00_17SEP23132011-P1BS-501946276020_01_P008_u08rf3031.tif,1553541866.6124372,1553541953.159589,22046
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002185811_1040010032C4A600_17OCT02185811-P1BS-501946273050_01_P003_u08rf3031.tif,1553541953.3517292,1553542031.4570813,21779
/pylon5/mc3bggp/bspitz/Seals/WV03_20171206145115_1040010036A46700_17DEC06145115-P1BS-501956603040_01_P008_u08rf3031.tif,1553542031.6168504,1553542112.892628,21410
/pylon5/mc3bggp/bspitz/Seals/WV03_20170911132813_1040010031C93000_17SEP11132813-P1BS-501986264030_01_P008_u08rf3031.tif,1553542113.0643938,1553542190.6053576,18612
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610231016_104001002E331300_17JUN10231016-P1BS-501946149020_01_P005_u08rf3031.tif,1553542190.7617505,1553542249.0062408,20376
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016125050_1040010034323300_17OCT16125050-P1BS-501989207060_01_P009_u08rf3031.tif,1553542249.1322036,1553542331.0613747,20601
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001134537_1040010033CA3600_17OCT01134537-P1BS-501946347060_01_P001_u08rf3031.tif,1553542331.1450415,1553542402.4532368,19935
/pylon5/mc3bggp/bspitz/Seals/WV03_20171019084510_1040010033903C00_17OCT19084510-P1BS-501862028040_01_P003_u08rf3031.tif,1553542402.7327425,1553542462.5032282,19777
/pylon5/mc3bggp/bspitz/Seals/WV03_20171010031018_1040010032BBC600_17OCT10031018-P1BS-501861937080_01_P006_u08rf3031.tif,1553542462.6156597,1553542559.6258736,22436
/pylon5/mc3bggp/bspitz/Seals/WV03_20171110044500_104001003415D300_17NOV10044500-P1BS-501896788100_01_P001_u08rf3031.tif,1553542559.7979329,1553542619.0116208,17876
/pylon5/mc3bggp/bspitz/Seals/WV03_20171106133355_10400100344EE300_17NOV06133355-P1BS-501917430030_01_P001_u08rf3031.tif,1553542619.1158383,1553542674.0670884,18062
/pylon5/mc3bggp/bspitz/Seals/WV03_20171020135051_1040010033C33D00_17OCT20135051-P1BS-501862132010_01_P005_u08rf3031.tif,1553542674.2126243,1553542773.8693035,23408
/pylon5/mc3bggp/bspitz/Seals/WV03_20171101054619_1040010035B46800_17NOV01054619-P1BS-501934295040_01_P003_u08rf3031.tif,1553542774.131561,1553542862.6484537,20384
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215184230_1040010035822800_17DEC15184230-P1BS-501932172010_01_P003_u08rf3031.tif,1553542862.907872,1553542951.1787655,20275
/pylon5/mc3bggp/bspitz/Seals/WV03_20180108052648_10400100375AFE00_18JAN08052648-P1BS-501968392090_01_P004_u08rf3031.tif,1553542951.408878,1553543029.6195502,19461
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905101709_104001003283AB00_17SEP05101709-P1BS-501603149020_01_P008_u08rf3031.tif,1553543029.8618977,1553543063.583944,12371
/pylon5/mc3bggp/bspitz/Seals/WV03_20171118212327_104001003583FA00_17NOV18212327-P1BS-501932173100_01_P001_u08rf3031.tif,1553543063.5952127,1553543129.2412724,18140
/pylon5/mc3bggp/bspitz/Seals/WV03_20171014104432_1040010034194000_17OCT14104432-P1BS-501862143010_01_P010_u08rf3031.tif,1553543129.4099622,1553543167.3811533,9631
/pylon5/mc3bggp/bspitz/Seals/WV03_20171222024020_1040010036C2B900_17DEC22024020-P1BS-501968313030_01_P005_u08rf3031.tif,1553543167.4707284,1553543240.9071848,22923
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214151211_1040010035C24500_17DEC14151211-P1BS-501934305050_01_P001_u08rf3031.tif,1553543241.1124473,1553543303.4253263,20491
/pylon5/mc3bggp/bspitz/Seals/WV03_20171229042857_1040010035CF1800_17DEC29042857-P1BS-501934395010_01_P010_u08rf3031.tif,1553543303.497736,1553543334.5513399,10023
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021234918_1040010035972E00_17OCT21234918-P1BS-501862249050_01_P009_u08rf3031.tif,1553543334.622214,1553543434.2419524,24108
