Filename,Size
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131703_1040010036439D00_17DEC13131703-P1BS-501954010060_01_P001_u08rf3031.tif,110
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131551_10400100379A3800_17DEC13131551-P1BS-501954103010_01_P001_u08rf3031.tif,131
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114053_10400100360DC300_17DEC07114053-P1BS-501934408030_01_P003_u08rf3031.tif,147
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114059_10400100360DC300_17DEC07114059-P1BS-501934408030_01_P007_u08rf3031.tif,155
/pylon5/mc3bggp/bspitz/Seals/WV03_20171126053814_10400100358E6100_17NOV26053814-P1BS-501932179090_01_P005_u08rf3031.tif,159
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140639_1040010031BE8A00_17SEP01140639-P1BS-501669350010_01_P010_u08rf3031.tif,164
/pylon5/mc3bggp/bspitz/Seals/WV03_20171105130917_1040010035810100_17NOV05130917-P1BS-501932171010_01_P002_u08rf3031.tif,177
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102122129_10400100344E9500_17NOV02122129-P1BS-501917429100_01_P002_u08rf3031.tif,197
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131554_10400100379A3800_17DEC13131554-P1BS-501954103010_01_P003_u08rf3031.tif,202
/pylon5/mc3bggp/bspitz/Seals/WV03_20171124033007_10400100362A8100_17NOV24033007-P1BS-501953993040_01_P001_u08rf3031.tif,211
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218210447_10400100355F4100_17DEC18210447-P1BS-501932130040_01_P007_u08rf3031.tif,220
/pylon5/mc3bggp/bspitz/Seals/WV03_20171124033009_10400100362A8100_17NOV24033009-P1BS-501953993040_01_P002_u08rf3031.tif,226
/pylon5/mc3bggp/bspitz/Seals/WV03_20171223011809_10400100361FFF00_17DEC23011809-P1BS-501953986070_01_P002_u08rf3031.tif,239
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231033136_10400100361B5D00_17DEC31033136-P1BS-501934416050_01_P007_u08rf3031.tif,245
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214151710_10400100352EE100_17DEC14151710-P1BS-501922398090_01_P010_u08rf3031.tif,259
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930200232_1040010031682600_17SEP30200232-P1BS-501946161060_01_P002_u08rf3031.tif,262
/pylon5/mc3bggp/bspitz/Seals/WV03_20170911132614_10400100322AB900_17SEP11132614-P1BS-501603140060_01_P004_u08rf3031.tif,267
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231033239_1040010036880700_17DEC31033239-P1BS-501956585050_01_P007_u08rf3031.tif,279
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224223613_1040010034350300_17DEC24223613-P1BS-501917421060_01_P002_u08rf3031.tif,290
/pylon5/mc3bggp/bspitz/Seals/WV03_20171230174234_1040010036AB4500_17DEC30174234-P1BS-501956607100_01_P001_u08rf3031.tif,297
/pylon5/mc3bggp/bspitz/Seals/WV03_20171206063759_10400100341A2F00_17DEC06063759-P1BS-501896789100_01_P002_u08rf3031.tif,301
/pylon5/mc3bggp/bspitz/Seals/WV03_20170927124610_10400100333E4100_17SEP27124610-P1BS-501946288020_01_P004_u08rf3031.tif,310
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218130540_1040010037BE1B00_17DEC18130540-P1BS-501954113020_01_P002_u08rf3031.tif,319
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218143348_1040010036AC8000_17DEC18143348-P1BS-501956609060_01_P001_u08rf3031.tif,327
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002154236_10400100348B3300_17OCT02154236-P1BS-501946354010_01_P007_u08rf3031.tif,332
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231622_10400100317D4700_17AUG18231622-P1BS-501946162020_01_P002_u08rf3031.tif,340
/pylon5/mc3bggp/bspitz/Seals/WV03_20180104042514_1040010035B71D00_18JAN04042514-P1BS-501934294050_01_P002_u08rf3031.tif,347
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216221051_1040010036916100_17DEC16221051-P1BS-501956592050_01_P008_u08rf3031.tif,362
/pylon5/mc3bggp/bspitz/Seals/WV03_20171014104432_1040010034194000_17OCT14104432-P1BS-501862143010_01_P010_u08rf3031.tif,369
/pylon5/mc3bggp/bspitz/Seals/WV03_20171225082734_10400100377EF300_17DEC25082734-P1BS-501968401030_01_P010_u08rf3031.tif,377
/pylon5/mc3bggp/bspitz/Seals/WV03_20170911132505_1040010033D12500_17SEP11132505-P1BS-501603217080_01_P003_u08rf3031.tif,388
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214182534_1040010036D5C900_17DEC14182534-P1BS-501968327070_01_P010_u08rf3031.tif,401
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140643_104001003568EC00_17OCT21140643-P1BS-501862248040_01_P010_u08rf3031.tif,413
