Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20171207114053_10400100360DC300_17DEC07114053-P1BS-501934408030_01_P003_u08rf3031.tif,1554067660.35664,1554067719.4146075,20478
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140639_1040010031BE8A00_17SEP01140639-P1BS-501669350010_01_P010_u08rf3031.tif,1554067719.680728,1554067754.9169576,12499
/pylon5/mc3bggp/bspitz/Seals/WV03_20171102122129_10400100344E9500_17NOV02122129-P1BS-501917429100_01_P002_u08rf3031.tif,1554067755.0319126,1554067784.4175386,5144
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218210447_10400100355F4100_17DEC18210447-P1BS-501932130040_01_P007_u08rf3031.tif,1554067784.5462341,1554067810.6422954,8123
/pylon5/mc3bggp/bspitz/Seals/WV03_20171124033009_10400100362A8100_17NOV24033009-P1BS-501953993040_01_P002_u08rf3031.tif,1554067810.728017,1554067862.5454102,22913
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930200232_1040010031682600_17SEP30200232-P1BS-501946161060_01_P002_u08rf3031.tif,1554067862.7047868,1554067880.5126278,6583
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231033239_1040010036880700_17DEC31033239-P1BS-501956585050_01_P007_u08rf3031.tif,1554067880.559494,1554067906.841753,5626
/pylon5/mc3bggp/bspitz/Seals/WV03_20171206063759_10400100341A2F00_17DEC06063759-P1BS-501896789100_01_P002_u08rf3031.tif,1554067906.9300625,1554067934.5647879,4598
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218143348_1040010036AC8000_17DEC18143348-P1BS-501956609060_01_P001_u08rf3031.tif,1554067934.6615307,1554067993.5905063,18262
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216221051_1040010036916100_17DEC16221051-P1BS-501956592050_01_P008_u08rf3031.tif,1554067993.776414,1554068056.7229023,22466
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140643_104001003568EC00_17OCT21140643-P1BS-501862248040_01_P010_u08rf3031.tif,1554068056.8998408,1554068091.4108932,8025
/pylon5/mc3bggp/bspitz/Seals/WV03_20180108052713_104001003652BC00_18JAN08052713-P1BS-501954091040_01_P001_u08rf3031.tif,1554068091.5147247,1554068151.2117593,18020
/pylon5/mc3bggp/bspitz/Seals/WV03_20170917163820_10400100326D0A00_17SEP17163820-P1BS-501946240080_01_P008_u08rf3031.tif,1554068151.3760974,1554068170.9540222,5984
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930133001_104001003205FE00_17SEP30133001-P1BS-501946166040_01_P007_u08rf3031.tif,1554068170.996706,1554068205.290436,7625
/pylon5/mc3bggp/bspitz/Seals/WV03_20171114054738_104001003508FA00_17NOV14054738-P1BS-501920247020_01_P002_u08rf3031.tif,1554068205.3871439,1554068235.844339,5126
/pylon5/mc3bggp/bspitz/Seals/WV03_20171206095521_10400100341AA900_17DEC06095521-P1BS-501896790030_01_P006_u08rf3031.tif,1554068235.943421,1554068272.0514922,7666
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016125051_1040010034323300_17OCT16125051-P1BS-501989207060_01_P010_u08rf3031.tif,1554068272.1531496,1554068316.810341,11899
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222536_10400100310D2700_17SEP02222536-P1BS-501667685050_01_P001_u08rf3031.tif,1554068316.9410982,1554068379.4167702,19482
/pylon5/mc3bggp/bspitz/Seals/WV03_20171005162857_10400100336CE300_17OCT05162857-P1BS-501862022050_01_P007_u08rf3031.tif,1554068379.5808864,1554068408.7569797,5638
/pylon5/mc3bggp/bspitz/Seals/WV03_20180105111738_1040010035BD5A00_18JAN05111738-P1BS-501934300020_01_P010_u08rf3031.tif,1554068408.836216,1554068450.5304403,9642
/pylon5/mc3bggp/bspitz/Seals/WV03_20170908012007_1040010032112800_17SEP08012007-P1BS-501603137080_01_P002_u08rf3031.tif,1554068450.6507065,1554068520.5684426,19849
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140329_10400100336BBC00_17SEP01140329-P1BS-501603159090_01_P001_u08rf3031.tif,1554068520.7583728,1554068577.4691432,15843
/pylon5/mc3bggp/bspitz/Seals/WV03_20171119151103_1040010035135200_17NOV19151103-P1BS-501920256050_01_P001_u08rf3031.tif,1554068577.6300426,1554068630.481071,20967
/pylon5/mc3bggp/bspitz/Seals/WV03_20171215135828_1040010036282F00_17DEC15135828-P1BS-501953990100_01_P002_u08rf3031.tif,1554068630.6092975,1554068688.6187594,20308
/pylon5/mc3bggp/bspitz/Seals/WV03_20171105130901_104001003357BF00_17NOV05130901-P1BS-501896770040_01_P001_u08rf3031.tif,1554068688.7634876,1554068755.0790806,17413
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140625_1040010031BE8A00_17SEP01140625-P1BS-501669350010_01_P001_u08rf3031.tif,1554068755.253223,1554068817.9142814,18807
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001233028_1040010033921900_17OCT01233028-P1BS-501946336020_01_P010_u08rf3031.tif,1554068818.0762935,1554068849.3350573,6170
/pylon5/mc3bggp/bspitz/Seals/WV03_20171022030356_1040010035184800_17OCT22030356-P1BS-501862244090_01_P002_u08rf3031.tif,1554068849.4247248,1554068903.1507194,19235
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214182556_10400100365DB100_17DEC14182556-P1BS-501956494030_01_P001_u08rf3031.tif,1554068903.2813134,1554068980.7650967,20991
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212113246_1040010036442E00_17DEC12113246-P1BS-501954009010_01_P001_u08rf3031.tif,1554068980.99877,1554069053.4258003,19735
/pylon5/mc3bggp/bspitz/Seals/WV03_20171119151107_1040010035135200_17NOV19151107-P1BS-501920256050_01_P003_u08rf3031.tif,1554069053.6274028,1554069115.0708227,22941
/pylon5/mc3bggp/bspitz/Seals/WV03_20171208021722_10400100351F4700_17DEC08021722-P1BS-501920264010_01_P001_u08rf3031.tif,1554069115.205929,1554069188.287076,22617
/pylon5/mc3bggp/bspitz/Seals/WV03_20170912165816_1040010032781200_17SEP12165816-P1BS-501946242040_01_P001_u08rf3031.tif,1554069188.4618895,1554069257.5406084,20406
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610231014_104001002E331300_17JUN10231014-P1BS-501946149020_01_P004_u08rf3031.tif,1554069257.7248871,1554069321.024413,20224
/pylon5/mc3bggp/bspitz/Seals/WV03_20170831023002_1040010032530900_17AUG31023002-P1BS-501603145030_01_P001_u08rf3031.tif,1554069321.1915658,1554069392.0485735,20940
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222540_10400100310D2700_17SEP02222540-P1BS-501667685050_01_P004_u08rf3031.tif,1554069392.277874,1554069461.1902378,21013
/pylon5/mc3bggp/bspitz/Seals/WV03_20170613124035_104001002D9DA600_17JUN13124035-P1BS-501461471070_01_P008_u08rf3031.tif,1554069461.385692,1554069539.312961,21454
/pylon5/mc3bggp/bspitz/Seals/WV03_20170911132612_10400100322AB900_17SEP11132612-P1BS-501603140060_01_P002_u08rf3031.tif,1554069539.5891473,1554069617.326545,20132
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828094922_10400100315F5700_17AUG28094922-P1BS-501669232080_01_P009_u08rf3031.tif,1554069617.5509393,1554069675.3391602,21269
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828094916_10400100315F5700_17AUG28094916-P1BS-501669232080_01_P005_u08rf3031.tif,1554069675.4854121,1554069735.9290118,21315
/pylon5/mc3bggp/bspitz/Seals/WV03_20171007134426_1040010032571A00_17OCT07134426-P1BS-501861932080_01_P006_u08rf3031.tif,1554069736.0906246,1554069805.7511637,19367
/pylon5/mc3bggp/bspitz/Seals/WV03_20171203105131_104001003626E200_17DEC03105131-P1BS-501953990050_01_P010_u08rf3031.tif,1554069805.9427016,1554069849.2177298,9069
/pylon5/mc3bggp/bspitz/Seals/WV03_20170717230413_104001002F103B00_17JUL17230413-P1BS-501497929030_01_P004_u08rf3031.tif,1554069849.3541403,1554069910.9827554,19086
/pylon5/mc3bggp/bspitz/Seals/WV03_20171012164536_1040010034928600_17OCT12164536-P1BS-501989212070_01_P004_u08rf3031.tif,1554069911.175509,1554069974.563094,16095
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828095013_10400100321C1500_17AUG28095013-P1BS-501603138040_01_P007_u08rf3031.tif,1554069974.7467468,1554070034.1935885,21308
/pylon5/mc3bggp/bspitz/Seals/WV03_20171208133602_104001003418F800_17DEC08133602-P1BS-501896789070_01_P007_u08rf3031.tif,1554070034.3403678,1554070123.5003781,24085
/pylon5/mc3bggp/bspitz/Seals/WV03_20170918151644_1040010033412C00_17SEP18151644-P1BS-501946288070_01_P001_u08rf3031.tif,1554070123.8847713,1554070172.6546805,16841
/pylon5/mc3bggp/bspitz/Seals/WV03_20171210140617_1040010035B7F800_17DEC10140617-P1BS-501934294060_01_P004_u08rf3031.tif,1554070172.7822,1554070253.1047106,19579
/pylon5/mc3bggp/bspitz/Seals/WV03_20180101115225_1040010035BAB700_18JAN01115225-P1BS-501934298020_01_P008_u08rf3031.tif,1554070253.35975,1554070338.5086129,24025
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214151805_10400100361B2100_17DEC14151805-P1BS-501934417040_01_P003_u08rf3031.tif,1554070338.8176105,1554070409.3651893,19996
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818134219_104001003107D400_17AUG18134219-P1BS-501667684090_01_P012_u08rf3031.tif,1554070409.5898392,1554070493.0845044,21477
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109075038_104001003425C900_17NOV09075038-P1BS-501896795020_01_P009_u08rf3031.tif,1554070493.354129,1554070563.0515587,23451
/pylon5/mc3bggp/bspitz/Seals/WV03_20170912004558_1040010032BA9C00_17SEP12004558-P1BS-501946254030_01_P002_u08rf3031.tif,1554070563.2426915,1554070659.2301877,25061
/pylon5/mc3bggp/bspitz/Seals/WV03_20171212210947_1040010037A33300_17DEC12210947-P1BS-501954104050_01_P002_u08rf3031.tif,1554070659.6187642,1554070738.0303214,23531
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905231347_1040010032CDF100_17SEP05231347-P1BS-501603156060_01_P006_u08rf3031.tif,1554070738.2892325,1554070798.0690615,14631
/pylon5/mc3bggp/bspitz/Seals/WV03_20170710131412_10400100304BA200_17JUL10131412-P1BS-501603348090_01_P001_u08rf3031.tif,1554070798.2289078,1554070881.000909,20847
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218125805_1040010036C96D00_17DEC18125805-P1BS-501968318060_01_P004_u08rf3031.tif,1554070881.2854934,1554070958.3831224,20549
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221090305_10400100363ECE00_17DEC21090305-P1BS-501954005060_01_P008_u08rf3031.tif,1554070958.6405275,1554071034.233383,21104
/pylon5/mc3bggp/bspitz/Seals/WV03_20170902222640_1040010033759000_17SEP02222640-P1BS-501603231080_01_P003_u08rf3031.tif,1554071034.5245192,1554071105.5298378,21593
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610231020_104001002E331300_17JUN10231020-P1BS-501946149020_01_P008_u08rf3031.tif,1554071105.73154,1554071173.7456217,21106
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008135729_1040010033997300_17OCT08135729-P1BS-501862030100_01_P004_u08rf3031.tif,1554071173.921375,1554071246.4785516,18944
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231628_10400100317D4700_17AUG18231628-P1BS-501946162020_01_P006_u08rf3031.tif,1554071246.712174,1554071306.1847894,19259
/pylon5/mc3bggp/bspitz/Seals/WV03_20171231063748_1040010036322700_17DEC31063748-P1BS-501953998070_01_P004_u08rf3031.tif,1554071306.3569515,1554071392.617396,20395
