Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905084059_1040010032725200_17SEP05084059-P1BS-501603148040_01_P006_u08rf3031.tif,1553698444.8192172,1553698516.3531246,20825
/pylon5/mc3bggp/bspitz/Seals/WV03_20171110044423_104001003537F400_17NOV10044423-P1BS-501922404020_01_P003_u08rf3031.tif,1553698516.5575504,1553698578.4236202,17546
/pylon5/mc3bggp/bspitz/Seals/WV03_20170829051424_10400100311EC100_17AUG29051424-P1BS-501669221100_01_P003_u08rf3031.tif,1553698578.576032,1553698656.889657,20855
/pylon5/mc3bggp/bspitz/Seals/WV03_20171121140426_1040010035CB9200_17NOV21140426-P1BS-501934391080_01_P008_u08rf3031.tif,1553698657.091335,1553698729.1720335,19702
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008220808_1040010034427600_17OCT08220808-P1BS-501862150050_01_P010_u08rf3031.tif,1553698729.3764284,1553698779.9018543,12123
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930200335_1040010034A0B400_17SEP30200335-P1BS-501946356040_01_P001_u08rf3031.tif,1553698780.0265663,1553698843.347005,21927
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224161032_1040010036169400_17DEC24161032-P1BS-501934413100_01_P010_u08rf3031.tif,1553698843.4874585,1553698886.1762984,11228
/pylon5/mc3bggp/bspitz/Seals/WV03_20171218000102_1040010036480F00_17DEC18000102-P1BS-501954012090_01_P001_u08rf3031.tif,1553698886.303925,1553698972.4986541,20571
/pylon5/mc3bggp/bspitz/Seals/WV03_20170929180827_10400100320A5C00_17SEP29180827-P1BS-501946167080_01_P007_u08rf3031.tif,1553698972.7905502,1553699046.4194987,17421
/pylon5/mc3bggp/bspitz/Seals/WV03_20180110171949_1040010038474200_18JAN10171949-P1BS-501954064050_01_P001_u08rf3031.tif,1553699046.6580184,1553699110.3480823,18161
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001134757_104001003280B600_17OCT01134757-P1BS-501946244090_01_P003_u08rf3031.tif,1553699110.6119912,1553699199.2793148,21335
