,Image,Size,OutputTime,Tiles
50,WV03_20171231050020_10400100378AD700_17DEC31050020-P1BS-501954096020_01_P001_u08rf3031.tif,1684,59.49,21663
51,WV03_20171007134151_10400100346D1B00_17OCT07134151-P1BS-501862159090_01_P004_u08rf3031.tif,1074,50.65,17974
52,WV03_20170927173755_1040010034424900_17SEP27173755-P1BS-501946353020_01_P001_u08rf3031.tif,2329,85.08,22018
53,WV03_20170930213910_1040010033B42A00_17SEP30213910-P1BS-501946341080_01_P007_u08rf3031.tif,1568,43.29,19328
54,WV03_20171121234638_1040010035681400_17NOV21234638-P1BS-501932137050_01_P003_u08rf3031.tif,703,56.97,21250
55,WV03_20171019070915_104001003379BC00_17OCT19070915-P1BS-501862023040_01_P005_u08rf3031.tif,1788,81.63,20943
56,WV03_20171128204747_1040010035C91100_17NOV28204747-P1BS-501934390030_01_P002_u08rf3031.tif,1915,78.38,23523
57,WV03_20180105124801_1040010037CE6800_18JAN05124801-P1BS-501954061030_01_P009_u08rf3031.tif,1348,54.58,19667
58,WV03_20170908222349_104001003274E800_17SEP08222349-P1BS-501603149050_01_P003_u08rf3031.tif,973,49.54,20520
59,WV03_20171120202018_1040010035873500_17NOV20202018-P1BS-501932175050_01_P004_u08rf3031.tif,1058,53.05,21125
60,WV03_20171217173629_10400100365FE100_17DEC17173629-P1BS-501956494100_01_P001_u08rf3031.tif,511,53.98,19109
61,WV03_20170610231023_104001002E331300_17JUN10231023-P1BS-501946149020_01_P010_u08rf3031.tif,846,55.81,20106
62,WV03_20170930021254_1040010034BB1C00_17SEP30021254-P1BS-501946357030_01_P001_u08rf3031.tif,1433,55.21,19633
63,WV03_20171127073345_104001003523AE00_17NOV27073345-P1BS-501922390030_01_P011_u08rf3031.tif,199,17.39,7144
64,WV03_20171229042847_1040010035CF1800_17DEC29042847-P1BS-501934395010_01_P003_u08rf3031.tif,1789,49.9,22334
65,WV03_20180105142159_1040010037C52500_18JAN05142159-P1BS-501954114050_01_P005_u08rf3031.tif,308,33.83,16411
66,WV03_20170818231741_1040010031442200_17AUG18231741-P1BS-501946158030_01_P006_u08rf3031.tif,600,39.68,20151
67,WV03_20171127073334_104001003523AE00_17NOV27073334-P1BS-501922390030_01_P004_u08rf3031.tif,568,46.66,19197
68,WV03_20171118051253_104001003445E300_17NOV18051253-P1BS-501917427090_01_P002_u08rf3031.tif,1547,55.3,20973
69,WV03_20170909223849_10400100331B0400_17SEP09223849-P1BS-501603158070_01_P004_u08rf3031.tif,1076,50.38,22700
70,WV03_20170918151746_10400100322EE500_17SEP18151746-P1BS-501946228090_01_P007_u08rf3031.tif,445,10.81,5532
71,WV03_20171129175044_10400100358FFC00_17NOV29175044-P1BS-501932181010_01_P003_u08rf3031.tif,1406,57.54,24368
72,WV03_20171120103825_1040010032AD0200_17NOV20103825-P1BS-501896675030_01_P006_u08rf3031.tif,1318,51.21,21374
73,WV03_20171220083851_1040010036A78C00_17DEC20083851-P1BS-501956605060_01_P001_u08rf3031.tif,1352,51.81,22571
74,WV03_20171229042948_10400100368CA000_17DEC29042948-P1BS-501956588090_01_P008_u08rf3031.tif,1084,51.13,19192
75,WV03_20171020233336_10400100334E6100_17OCT20233336-P1BS-501862013070_01_P001_u08rf3031.tif,820,77.73,21669
76,WV03_20180104141104_1040010036490C00_18JAN04141104-P1BS-501954013010_01_P005_u08rf3031.tif,1331,49.37,20184
77,WV03_20170926140749_104001003320EE00_17SEP26140749-P1BS-501946282100_01_P001_u08rf3031.tif,619,54.0,22024
78,WV03_20170908012008_1040010032112800_17SEP08012008-P1BS-501603137080_01_P003_u08rf3031.tif,563,46.86,19859
79,WV03_20171001072007_10400100349A1200_17OCT01072007-P1BS-501946356020_01_P004_u08rf3031.tif,1871,61.09,20848
80,WV03_20170924102305_10400100348BFC00_17SEP24102305-P1BS-501946354020_01_P001_u08rf3031.tif,2251,55.99,22519
81,WV03_20170914155256_1040010033BB8600_17SEP14155256-P1BS-501946344100_01_P003_u08rf3031.tif,1516,41.42,19754
82,WV03_20171030211953_104001003444FD00_17OCT30211953-P1BS-501917427040_01_P011_u08rf3031.tif,820,24.52,11092
83,WV03_20171016223246_1040010033A15500_17OCT16223246-P1BS-501862031090_01_P003_u08rf3031.tif,1695,53.39,24014
84,WV03_20170921030657_1040010033A5E500_17SEP21030657-P1BS-501946337100_01_P004_u08rf3031.tif,1699,43.62,19263
85,WV03_20171002024346_1040010033BB5400_17OCT02024346-P1BS-501946343030_01_P003_u08rf3031.tif,1656,53.17,20523
86,WV03_20170908173352_104001003148CD00_17SEP08173352-P1BS-501669227090_01_P004_u08rf3031.tif,777,57.84,21362
87,WV03_20171019084511_1040010033903C00_17OCT19084511-P1BS-501862028040_01_P004_u08rf3031.tif,1207,42.55,19805
88,WV03_20171012132232_1040010033CAB400_17OCT12132232-P1BS-501862130100_01_P002_u08rf3031.tif,332,49.3,22064
89,WV03_20171109043010_104001003597A300_17NOV09043010-P1BS-501932186070_01_P002_u08rf3031.tif,1350,55.63,24018
90,WV03_20170908012059_1040010031D43000_17SEP08012059-P1BS-501669354050_01_P003_u08rf3031.tif,682,55.0,24143
91,WV03_20171026134845_1040010034B3BF00_17OCT26134845-P1BS-501920098010_01_P002_u08rf3031.tif,1213,49.48,20135
92,WV03_20180107225911_104001003788D200_18JAN07225911-P1BS-501954095060_01_P006_u08rf3031.tif,637,42.24,19085
93,WV03_20171228135554_10400100358E6900_17DEC28135554-P1BS-501932180020_01_P002_u08rf3031.tif,1403,60.72,23536
94,WV03_20171001170237_10400100341C4D00_17OCT01170237-P1BS-501946352040_01_P004_u08rf3031.tif,1391,60.27,19859
95,WV03_20171221090305_10400100363ECE00_17DEC21090305-P1BS-501954005060_01_P008_u08rf3031.tif,880,48.69,21104
96,WV03_20170929033428_10400100342DFD00_17SEP29033428-P1BS-501946350060_01_P002_u08rf3031.tif,1951,42.53,19821
97,WV03_20171206145110_1040010036A46700_17DEC06145110-P1BS-501956603040_01_P005_u08rf3031.tif,1907,63.65,21446
98,WV03_20180105142155_1040010037C52500_18JAN05142155-P1BS-501954114050_01_P002_u08rf3031.tif,933,58.25,20774
99,WV03_20171115024725_1040010034573B00_17NOV15024725-P1BS-501917434020_01_P001_u08rf3031.tif,1812,43.54,18045
100,WV03_20170921174142_104001003360ED00_17SEP21174142-P1BS-501946296090_01_P002_u08rf3031.tif,1026,57.38,24006
101,WV03_20171204204320_1040010035879B00_17DEC04204320-P1BS-501932175060_01_P007_u08rf3031.tif,1833,63.63,24000
102,WV03_20180109041503_1040010037A7E300_18JAN09041503-P1BS-501954106020_01_P007_u08rf3031.tif,1990,58.86,20800
103,WV03_20170907220756_1040010031027700_17SEP07220756-P1BS-501984203070_01_P003_u08rf3031.tif,1571,57.86,23685
104,WV03_20171228135651_1040010036A0BD00_17DEC28135651-P1BS-501956600060_01_P003_u08rf3031.tif,949,47.8,20089
105,WV03_20171207114123_1040010036601500_17DEC07114123-P1BS-501956495080_01_P001_u08rf3031.tif,137,39.34,18070
106,WV03_20171210141447_104001003515D600_17DEC10141447-P1BS-501920258020_01_P001_u08rf3031.tif,1257,39.18,18060
107,WV03_20170905083950_1040010032AAF400_17SEP05083950-P1BS-501603153040_01_P001_u08rf3031.tif,1841,56.04,20978
108,WV03_20171011211610_1040010033D7AD00_17OCT11211610-P1BS-501862137040_01_P005_u08rf3031.tif,1443,56.87,21689
109,WV03_20171107071236_1040010035769F00_17NOV07071236-P1BS-501932164070_01_P001_u08rf3031.tif,1325,53.63,18051
110,WV03_20171201052034_1040010033CFD500_17DEC01052034-P1BS-501896780010_01_P002_u08rf3031.tif,1262,59.03,21541
111,WV03_20171016142749_1040010033987A00_17OCT16142749-P1BS-501862030060_01_P001_u08rf3031.tif,1819,40.1,16698
112,WV03_20171127203220_10400100360E0700_17NOV27203220-P1BS-501934408050_01_P009_u08rf3031.tif,1203,44.55,20158
113,WV03_20171229141153_1040010037A28D00_17DEC29141153-P1BS-501954104030_01_P009_u08rf3031.tif,1015,50.51,22368
114,WV03_20171228185013_1040010036AC4B00_17DEC28185013-P1BS-501956608090_01_P003_u08rf3031.tif,1655,62.11,22464
115,WV03_20170908092748_1040010031C67800_17SEP08092748-P1BS-501669352030_01_P006_u08rf3031.tif,1661,40.32,19763
116,WV03_20170717230412_104001002F103B00_17JUL17230412-P1BS-501497929030_01_P003_u08rf3031.tif,773,38.9,19488
117,WV03_20170901221125_10400100318B7500_17SEP01221125-P1BS-501669238100_01_P005_u08rf3031.tif,943,32.89,15615
118,WV03_20171123143359_1040010034307A00_17NOV23143359-P1BS-501896798100_01_P006_u08rf3031.tif,781,38.92,17517
119,WV03_20171126053931_10400100350FF100_17NOV26053931-P1BS-501920251100_01_P003_u08rf3031.tif,1125,57.98,22999
120,WV03_20171123143401_1040010034307A00_17NOV23143401-P1BS-501896798100_01_P008_u08rf3031.tif,460,24.76,10451
121,WV03_20171206145106_1040010036A46700_17DEC06145106-P1BS-501956603040_01_P003_u08rf3031.tif,2180,57.36,21520
122,WV03_20170905231339_1040010032CDF100_17SEP05231339-P1BS-501603156060_01_P001_u08rf3031.tif,1039,57.85,20622
123,WV03_20170903224212_10400100320C2900_17SEP03224212-P1BS-501603137070_01_P001_u08rf3031.tif,1239,55.32,22089
124,WV03_20171007022432_1040010032995900_17OCT07022432-P1BS-501861935100_01_P005_u08rf3031.tif,1798,54.35,20188
125,WV03_20170929225813_10400100338A4A00_17SEP29225813-P1BS-501946335030_01_P001_u08rf3031.tif,1342,54.72,20022
126,WV03_20170818231628_10400100317D4700_17AUG18231628-P1BS-501946162020_01_P006_u08rf3031.tif,913,35.79,19259
127,WV03_20171116222927_1040010035AFB200_17NOV16222927-P1BS-501934291010_01_P003_u08rf3031.tif,1498,55.77,24521
128,WV03_20170923132011_1040010032CF9F00_17SEP23132011-P1BS-501946276020_01_P008_u08rf3031.tif,1986,62.61,22046
129,WV03_20171107120836_10400100344F3300_17NOV07120836-P1BS-501917431060_01_P007_u08rf3031.tif,545,30.99,19123
130,WV03_20171007183722_104001003373F600_17OCT07183722-P1BS-501862022080_01_P006_u08rf3031.tif,1991,64.35,23109
131,WV03_20170907104849_1040010033D30D00_17SEP07104849-P1BS-501603217090_01_P001_u08rf3031.tif,820,44.7,19925
132,WV03_20171014135442_1040010034033600_17OCT14135442-P1BS-501862138030_01_P003_u08rf3031.tif,1390,54.4,20443
133,WV03_20170914190751_1040010031B26C00_17SEP14190751-P1BS-501946163100_01_P003_u08rf3031.tif,1288,40.75,12086
134,WV03_20171121140315_104001003414FE00_17NOV21140315-P1BS-501896788080_01_P005_u08rf3031.tif,1628,63.29,23396
135,WV03_20171122043751_104001003677D100_17NOV22043751-P1BS-501956508070_01_P002_u08rf3031.tif,1751,58.99,24485
136,WV03_20171113070942_10400100350B5900_17NOV13070942-P1BS-501920249050_01_P007_u08rf3031.tif,1185,56.61,19248
137,WV03_20171023143925_1040010034B64D00_17OCT23143925-P1BS-501862236020_01_P008_u08rf3031.tif,986,46.18,21382
138,WV03_20171116160559_1040010034746900_17NOV16160559-P1BS-501917442050_01_P001_u08rf3031.tif,1345,52.5,19338
139,WV03_20171213131703_1040010036439D00_17DEC13131703-P1BS-501954010060_01_P001_u08rf3031.tif,110,40.93,16503
140,WV03_20171002185811_1040010032C4A600_17OCT02185811-P1BS-501946273050_01_P003_u08rf3031.tif,1512,50.53,21779
141,WV03_20170923132002_1040010032CF9F00_17SEP23132002-P1BS-501946276020_01_P003_u08rf3031.tif,1447,57.59,21959
142,WV03_20170922144149_1040010033AFD100_17SEP22144149-P1BS-501946342070_01_P006_u08rf3031.tif,1205,46.93,21757
143,WV03_20170722224411_104001002E7EBE00_17JUL22224411-P1BS-501497905050_01_P004_u08rf3031.tif,1172,45.56,22981
144,WV03_20171212210948_1040010037A33300_17DEC12210948-P1BS-501954104050_01_P003_u08rf3031.tif,727,48.05,23377
145,WV03_20170922144258_1040010033327700_17SEP22144258-P1BS-501946286070_01_P009_u08rf3031.tif,1180,43.32,19732
146,WV03_20180110140220_104001003529FE00_18JAN10140220-P1BS-501922394090_01_P001_u08rf3031.tif,921,47.71,17562
147,WV03_20171223011902_1040010037712800_17DEC23011902-P1BS-501968395010_01_P001_u08rf3031.tif,716,51.99,18054
148,WV03_20171221090300_10400100363ECE00_17DEC21090300-P1BS-501954005060_01_P005_u08rf3031.tif,1860,61.64,21010
149,WV03_20171217141919_1040010036B23100_17DEC17141919-P1BS-501956613050_01_P001_u08rf3031.tif,659,38.26,17667
150,WV03_20170901024536_1040010031770C00_17SEP01024536-P1BS-501669235050_01_P004_u08rf3031.tif,1666,51.05,20715
151,WV03_20170717230415_104001002F103B00_17JUL17230415-P1BS-501497929030_01_P005_u08rf3031.tif,812,36.89,19256
152,WV03_20171206145115_1040010036A46700_17DEC06145115-P1BS-501956603040_01_P008_u08rf3031.tif,1907,58.01,21410
153,WV03_20170901221122_10400100318B7500_17SEP01221122-P1BS-501669238100_01_P003_u08rf3031.tif,1216,48.54,21561
154,WV03_20171225114042_10400100353B5D00_17DEC25114042-P1BS-501922408040_01_P008_u08rf3031.tif,1274,56.87,23028
155,WV03_20171218143348_1040010036AC8000_17DEC18143348-P1BS-501956609060_01_P001_u08rf3031.tif,327,39.26,18262
156,WV03_20171109235229_1040010035198000_17NOV09235229-P1BS-501920259100_01_P002_u08rf3031.tif,254,15.47,5173
157,WV03_20171213145430_10400100378C3000_17DEC13145430-P1BS-501954096090_01_P004_u08rf3031.tif,983,43.77,20730
158,WV03_20170911150632_1040010032BC1100_17SEP11150632-P1BS-501603154060_01_P005_u08rf3031.tif,1993,43.88,20365
159,WV03_20171008135854_104001003249AE00_17OCT08135854-P1BS-501861929070_01_P006_u08rf3031.tif,1119,55.25,20277
160,WV03_20171225114143_1040010037D15800_17DEC25114143-P1BS-501954061100_01_P005_u08rf3031.tif,1603,54.22,21589
161,WV03_20171104031034_10400100355B6300_17NOV04031034-P1BS-501932127020_01_P001_u08rf3031.tif,1255,41.12,19948
162,WV03_20170613123937_104001002DB9B700_17JUN13123937-P1BS-501461502070_01_P006_u08rf3031.tif,485,55.41,23555
163,WV03_20170929225901_1040010032BC7300_17SEP29225901-P1BS-501946272070_01_P001_u08rf3031.tif,1624,58.46,22612
164,WV03_20171201195845_10400100341BBC00_17DEC01195845-P1BS-501896792070_01_P006_u08rf3031.tif,886,46.05,21352
165,WV03_20171016160510_104001003597C700_17OCT16160510-P1BS-501862249060_01_P005_u08rf3031.tif,1477,60.92,24503
166,WV03_20171006003203_104001003384C700_17OCT06003203-P1BS-501862025050_01_P003_u08rf3031.tif,1882,66.17,21542
167,WV03_20170911132813_1040010031C93000_17SEP11132813-P1BS-501986264030_01_P008_u08rf3031.tif,1595,55.76,18612
168,WV03_20171022030356_1040010035184800_17OCT22030356-P1BS-501862244090_01_P002_u08rf3031.tif,616,33.94,19235
169,WV03_20171002041930_1040010032A86C00_17OCT02041930-P1BS-501946251010_01_P007_u08rf3031.tif,1588,48.09,18979
170,WV03_20171130180250_10400100342A5200_17NOV30180250-P1BS-501896797010_01_P003_u08rf3031.tif,1328,70.69,24509
171,WV03_20170722224407_104001002E7EBE00_17JUL22224407-P1BS-501497905050_01_P002_u08rf3031.tif,982,46.93,22611
172,WV03_20180101145843_1040010037B88500_18JAN01145843-P1BS-501954111100_01_P002_u08rf3031.tif,433,11.96,5115
173,WV03_20171005211857_104001003393B800_17OCT05211857-P1BS-501862028090_01_P006_u08rf3031.tif,1301,45.87,22187
174,WV03_20170904064835_10400100326A9700_17SEP04064835-P1BS-501603147100_01_P002_u08rf3031.tif,1704,50.8,18678
175,WV03_20171115074601_104001003589DA00_17NOV15074601-P1BS-501932178070_01_P007_u08rf3031.tif,1937,57.1,20753
176,WV03_20171215072154_1040010036C3CB00_17DEC15072154-P1BS-501968314010_01_P003_u08rf3031.tif,1347,47.53,20166
177,WV03_20170722224419_104001002E7EBE00_17JUL22224419-P1BS-501497905050_01_P009_u08rf3031.tif,1238,35.79,17395
178,WV03_20170928193148_1040010033752400_17SEP28193148-P1BS-501946300030_01_P004_u08rf3031.tif,1593,52.24,20281
179,WV03_20170610231016_104001002E331300_17JUN10231016-P1BS-501946149020_01_P005_u08rf3031.tif,664,42.97,20376
180,WV03_20171229235450_1040010037181A00_17DEC29235450-P1BS-501968374060_01_P005_u08rf3031.tif,1071,47.48,19243
181,WV03_20171006231025_104001003429B800_17OCT06231025-P1BS-501862145060_01_P005_u08rf3031.tif,1698,52.01,21907
182,WV03_20170922144250_1040010033327700_17SEP22144250-P1BS-501946286070_01_P004_u08rf3031.tif,985,37.92,19664
183,WV03_20180103073026_10400100369EEE00_18JAN03073026-P1BS-501956601030_01_P006_u08rf3031.tif,1335,49.12,18981
184,WV03_20170927030258_1040010033243E00_17SEP27030258-P1BS-501946283040_01_P005_u08rf3031.tif,1330,54.01,23546
185,WV03_20170904225830_10400100311E0C00_17SEP04225830-P1BS-501669221090_01_P005_u08rf3031.tif,1427,59.78,21012
186,WV03_20171130014928_1040010036BEB100_17NOV30014928-P1BS-501968309080_01_P008_u08rf3031.tif,1124,60.79,19859
187,WV03_20171225082727_10400100377EF300_17DEC25082727-P1BS-501968401030_01_P005_u08rf3031.tif,2133,66.72,23012
188,WV03_20171016125050_1040010034323300_17OCT16125050-P1BS-501989207060_01_P009_u08rf3031.tif,962,57.04,20601
189,WV03_20171122043657_10400100354A6F00_17NOV22043657-P1BS-501932113080_01_P005_u08rf3031.tif,1218,47.36,18490
190,WV03_20170906215224_10400100329D0400_17SEP06215224-P1BS-501603152100_01_P002_u08rf3031.tif,2196,63.3,23747
191,WV03_20171108220235_1040010035D7F000_17NOV08220235-P1BS-501934398080_01_P006_u08rf3031.tif,1552,51.24,23306
192,WV03_20171228135603_10400100358E6900_17DEC28135603-P1BS-501932180020_01_P007_u08rf3031.tif,1072,62.39,23778
193,WV03_20171215072050_10400100363C5D00_17DEC15072050-P1BS-501954004080_01_P001_u08rf3031.tif,1323,56.47,22180
194,WV03_20170908155533_10400100329BBD00_17SEP08155533-P1BS-501603152070_01_P001_u08rf3031.tif,1593,49.35,21496
195,WV03_20171024002003_10400100325AC600_17OCT24002003-P1BS-501896676070_01_P001_u08rf3031.tif,1540,58.13,22129
196,WV03_20171021140746_1040010034520600_17OCT21140746-P1BS-501862154020_01_P003_u08rf3031.tif,904,49.52,24033
197,WV03_20170929225821_10400100338A4A00_17SEP29225821-P1BS-501946335030_01_P006_u08rf3031.tif,2034,60.26,21507
198,WV03_20171228122755_10400100379C1A00_17DEC28122755-P1BS-501954100080_01_P001_u08rf3031.tif,1628,50.21,18413
199,WV03_20171020233453_10400100342CFB00_17OCT20233453-P1BS-501862146040_01_P006_u08rf3031.tif,1296,47.89,18659
200,WV03_20171001134537_1040010033CA3600_17OCT01134537-P1BS-501946347060_01_P001_u08rf3031.tif,775,45.59,19935
201,WV03_20171225050412_1040010036C79300_17DEC25050412-P1BS-501968317070_01_P001_u08rf3031.tif,959,40.82,18087
202,WV03_20171006083822_1040010032992C00_17OCT06083822-P1BS-501861935090_01_P008_u08rf3031.tif,1911,46.56,22547
203,WV03_20170921030656_1040010033A5E500_17SEP21030656-P1BS-501946337100_01_P003_u08rf3031.tif,1626,41.9,19246
204,WV03_20171016223247_1040010033A15500_17OCT16223247-P1BS-501862031090_01_P004_u08rf3031.tif,1691,58.31,23864
205,WV03_20170908123930_104001003260F400_17SEP08123930-P1BS-501603146040_01_P002_u08rf3031.tif,485,39.27,18000
206,WV03_20171213131554_10400100379A3800_17DEC13131554-P1BS-501954103010_01_P003_u08rf3031.tif,202,46.6,21615
207,WV03_20170912004605_1040010032BA9C00_17SEP12004605-P1BS-501946254030_01_P006_u08rf3031.tif,1412,77.42,25083
208,WV03_20171013183609_1040010034786D00_17OCT13183609-P1BS-501862226020_01_P010_u08rf3031.tif,331,20.01,8077
209,WV03_20180101115222_1040010035BAB700_18JAN01115222-P1BS-501934298020_01_P006_u08rf3031.tif,946,60.47,24053
210,WV03_20171111211402_104001003542ED00_17NOV11211402-P1BS-501922413050_01_P004_u08rf3031.tif,1352,39.17,16846
211,WV03_20171019084510_1040010033903C00_17OCT19084510-P1BS-501862028040_01_P003_u08rf3031.tif,1306,43.17,19777
212,WV03_20171114072444_104001003530B000_17NOV14072444-P1BS-501922399090_01_P001_u08rf3031.tif,1237,56.08,20521
213,WV03_20180103103825_1040010036B8FC00_18JAN03103825-P1BS-501968305080_01_P001_u08rf3031.tif,1155,33.87,17132
214,WV03_20171115234927_1040010033958D00_17NOV15234927-P1BS-501896775050_01_P001_u08rf3031.tif,1181,53.38,18184
215,WV03_20171002042102_1040010034AD4D00_17OCT02042102-P1BS-501946356090_01_P003_u08rf3031.tif,1903,62.22,23537
216,WV03_20170921205633_104001003259F300_17SEP21205633-P1BS-501946236060_01_P002_u08rf3031.tif,2194,48.77,21907
217,WV03_20171123032457_10400100346B2B00_17NOV23032457-P1BS-501917438040_01_P008_u08rf3031.tif,1018,42.89,13574
218,WV03_20170830231745_104001003206E800_17AUG30231745-P1BS-501669353060_01_P001_u08rf3031.tif,1533,52.94,18591
219,WV03_20170910082159_1040010033094B00_17SEP10082159-P1BS-501603156100_01_P007_u08rf3031.tif,1999,52.5,20803
220,WV03_20171010031018_1040010032BBC600_17OCT10031018-P1BS-501861937080_01_P006_u08rf3031.tif,2082,52.79,22436
